,Symbols,BeforeCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Symbols,DuringCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
0,300015.SZ,15.668,33.0%,1546.6%,42.0%,0.8888206813572981,0.6399091076333462,0.9039580153862881,-51.6%,1.1682273211560068,1.3465166576367402,0.17361280359691222,1.910450362901737,1.1653479625216259,-5.1%,300015.SZ,1.771,27.3%,77.9%,48.4%,0.7413840584654199,0.4393782091810497,0.126873133631774,-62.2%,1.1349564122867652,1.087210884708379,-0.06811320731059864,1.3965409693411326,1.208258881095916,-6.0%
1,300033.SZ,12.649,31.1%,1262.8%,57.4%,0.7568173843922927,0.3927425928195086,0.6787154058547773,-79.2%,1.144556446773895,1.1708213542645411,0.3382163803335518,1.465121012260549,1.2696424971938893,-7.1%,300033.SZ,-0.845,-5.4%,-12.3%,50.9%,0.14259440990304662,-0.0917055054906705,0.2154997612032522,-58.4%,1.0267188423471225,0.22155973067748067,0.7782684644654319,5.006053002408624,1.2118371911414787,-6.4%
2,300059.SZ,10.181,28.3%,947.9%,55.3%,0.7258085357083115,0.34406161248770545,0.7318249769768866,-82.1%,1.1393380308737657,1.103226063817818,0.19273108480465667,1.8185473665570555,1.2287193467346087,-6.8%,300059.SZ,2.702,52.1%,172.1%,49.7%,1.0912776075633885,1.2678548346939786,0.6602266395754425,-41.1%,1.2098979254970303,1.698774682626948,0.323780822432831,2.365404881685949,1.2150894891119444,-6.0%
3,300136.SZ,11.356,32.1%,1059.7%,54.8%,0.7816972259849224,0.4746360786504647,0.8109248594996012,-67.5%,1.1466433552531148,1.1490372256898111,-0.01740597869522755,1.3452204395479086,1.130789737577732,-6.7%,300136.SZ,-0.36,-34.7%,-63.7%,48.7%,-0.628500423664092,-0.44098013673557945,0.7995667352332608,-78.6%,0.8955504053552601,-0.8659069833442731,-0.03110751265913286,3.440629955778417,1.0264655850136242,-6.3%
4,300226.SZ,10.792,33.5%,987.9%,59.2%,0.7824654193634208,0.42547476310216586,0.5987512451942987,-78.7%,1.1499947038806717,1.1938361757759282,0.21894630275541904,1.2667769758560539,1.3102034965509786,-7.3%,300226.SZ,-0.485,-25.9%,-51.1%,42.9%,-0.4835936005824407,-0.3627551039466878,0.7415122053027268,-71.4%,0.9183824244760184,-0.6828247589356674,0.14401591737959946,2.5748108476376466,0.9833442858973078,-5.5%
5,300253.SZ,10.171,33.8%,934.0%,55.7%,0.8000185268888983,0.4128312313796772,0.6109484907921828,-81.8%,1.155111594803284,1.2071382356185518,0.14362213152136616,1.5419960076172599,1.202419825171355,-6.8%,300253.SZ,-0.761,-10.7%,-23.7%,48.8%,0.010726584348255833,-0.1474779893594277,0.5435754064819046,-72.7%,1.001845033555211,0.015561008843096734,0.1264236269314455,2.2561026591037256,1.1531976636652013,-6.1%
6,300285.SZ,10.51,36.3%,979.2%,49.3%,0.875180881203679,0.8812060813677819,0.8743654772623409,-41.2%,1.1714894138372747,1.309211353976525,0.07163610140815319,2.054945961142037,1.158898002588416,-6.0%,300285.SZ,1.474,18.1%,48.7%,44.8%,0.5952415891248193,0.3629305530401135,0.26298280488225084,-49.9%,1.1050325042258446,0.8706012817146691,0.02126316066209357,1.3717933673538925,1.0813884774140716,-5.5%
7,300308.SZ,10.861,38.2%,1015.7%,55.0%,0.8632167219349345,0.5325874093158107,0.90743698913913,-71.7%,1.1718166945167987,1.2835822129939647,0.020047206187177785,1.7558585361543448,1.167293249654311,-6.7%,300308.SZ,-0.583,-19.8%,-41.0%,44.3%,-0.27869974633932176,-0.32886000665366305,0.7954557355085304,-60.3%,0.9532515910688234,-0.393325655096857,0.14210625188453843,2.4252919531248454,1.030584374663894,-5.6%
8,300347.SZ,14.76,46.9%,1435.3%,51.0%,1.008725076334057,0.7589002655014718,0.8327509096902962,-61.8%,1.2001566778034076,1.5246331861819133,0.0936059240127717,1.759679841599386,1.2023443496673785,-6.2%,300347.SZ,1.77,27.7%,79.0%,51.6%,0.7321273056718324,0.45169060936894895,0.13429133173906913,-61.2%,1.1293868015497381,1.0473884718267539,-0.20571161810025776,0.6866654976936144,0.970641546993414,-6.4%
9,300450.SZ,17.744,91.2%,1715.2%,60.2%,1.3768795669704674,1.6646778894928345,0.6950405425349212,-54.8%,1.2885179446799704,2.1941033144931574,0.2568668652776081,1.2075799030607728,1.3917607693088618,-7.3%,300450.SZ,2.282,42.2%,131.4%,53.5%,0.9226230254480711,0.7603202417049393,0.6800398162389233,-55.5%,1.1709110079686613,1.4404280923946269,0.41331893836654277,1.6346927994563138,1.2308381383043285,-6.5%
10,300601.SZ,25.077,216.7%,2427.9%,59.0%,2.251155705018392,3.5339306201572858,0.7281814896893527,-61.3%,1.4932803709127516,3.7634880573831433,0.2863254194554396,1.173422350146498,1.6712101293061075,-6.9%,300601.SZ,-0.814,-7.3%,-16.5%,57.3%,0.15477470972208762,-0.09456018672571892,0.3444992426048491,-76.8%,1.0266615354323507,0.22505884102905946,0.06797742622437854,2.1478501969850754,1.1381859178958944,-7.2%
