,Symbols,BeforeCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Symbols,DuringCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
0,600201.SS,12.331,28.1%,1285.1%,39.7%,0.8230747879110591,0.5193251050909656,0.8984315506492193,-54.2%,1.1610353523300219,1.2064947650033853,-0.11917646734835713,2.9182500144377617,1.168867594495575,-4.9%,600201.SS,-0.473,-26.6%,-52.2%,38.2%,-0.619287861135455,-0.3578220202735462,0.7039600136411472,-74.4%,0.8975315478306792,-0.865647412312849,0.1213011108554002,2.197536519699642,0.997768059533737,-4.9%
1,600276.SS,18.694,32.1%,1821.0%,32.9%,1.0124953321547907,0.8041506238428981,0.9306440800647756,-40.0%,1.191969128762925,1.527172607193587,0.11599141445225883,2.3336140499359557,1.1217958680426112,-4.0%,600276.SS,-0.583,-20.1%,-41.4%,34.6%,-0.4730504832151568,-0.2826815939729123,0.5422333059347673,-71.0%,0.9222492329092368,-0.6530405017410257,-0.12004880714283712,2.4456418364264847,1.025960903135835,-4.4%
2,600305.SS,11.139,26.2%,1075.9%,41.9%,0.763540127698502,0.45645346689826016,0.8748621162892255,-57.3%,1.1453952847466475,1.157006673866104,0.24084651652946126,2.5132790927543107,1.1535298831798038,-5.2%,600305.SS,1.041,2.5%,6.0%,41.8%,0.2663982017537243,0.03959826525065396,0.18440858705818944,-62.6%,1.0462269494987486,0.39666837427906737,0.27182598733308444,1.514821257747589,1.2093202793825293,-5.2%
3,600340.SS,52.505,47.4%,5997.9%,45.1%,1.0851111986398798,0.8275232447863097,0.8773798614018865,-57.2%,1.2115978323764451,1.649391790937587,0.122229088285862,1.7082724207999336,1.0947401411938213,-5.5%,600340.SS,-0.146,-54.0%,-84.3%,48.1%,-1.3747836690493722,-0.6189622568356398,0.9119526068759373,-87.3%,0.7765336286567983,-1.969491095753347,0.648167599611164,3.2432367597361855,1.0281270537622742,-6.3%
4,600346.SS,17.443,31.6%,1741.6%,45.4%,0.8321702153320815,0.5031931291230932,0.7243984185743955,-62.8%,1.1680964842221486,1.2381370156798712,0.10927441882693584,2.557611315012875,1.0708157182948947,-5.6%,600346.SS,1.372,19.1%,51.6%,47.7%,0.60328074095034,0.33163803398028546,0.3109550534223079,-57.5%,1.1108412560044587,0.9107794463085818,0.2582378690502059,1.755986680198819,1.0875701535610036,-5.9%
5,600436.SS,23.984,36.3%,2555.2%,39.1%,0.9875990104929714,0.6681070823701711,0.9385433458849132,-54.4%,1.196801123709956,1.527204934520318,0.28929665777565394,3.2357147702207385,1.2144165096951876,-4.8%,600436.SS,3.195,63.2%,221.8%,43.5%,1.3447595676660717,1.5364582683573107,0.7019967303331438,-41.2%,1.2661982114084438,2.0364686059497483,-0.05424013593019595,2.1455275642571516,1.231982400043555,-5.2%
6,600446.SS,21.432,34.3%,2168.6%,56.3%,0.8034753332246183,0.3788750237847795,0.6775460186023303,-90.6%,1.156861563141312,1.2261091831996553,0.35716782838036687,2.62764922408038,1.1867395697443934,-6.9%,600446.SS,-0.493,-25.5%,-50.4%,40.2%,-0.5302501775588128,-0.40923374872659546,0.7193322783327651,-62.2%,0.9098978519105131,-0.7549050087293934,0.28547320008776644,2.847639146754351,0.9723568117330783,-5.1%
7,600460.SS,11.359,26.1%,1068.7%,51.1%,0.7093213776048931,0.35384989140230155,0.5634369446943303,-73.8%,1.134788663781359,1.0565740955575897,0.1019614110772408,2.0713283039528854,1.1330862837740276,-6.3%,600460.SS,3.185,62.6%,218.7%,57.2%,1.1331700543739676,1.3352593092100298,0.7826996238554851,-46.9%,1.2182225720212898,1.8386352913677408,0.45731991928122284,0.957036694224668,1.404892405724412,-6.9%
8,600519.SS,14.563,31.1%,1653.5%,31.3%,1.0215970903420388,0.5825406535361519,0.8380928161979174,-53.3%,1.1943640963819644,1.5698396904113445,0.15879363240012814,3.095534722194773,1.2003673075022219,-3.8%,600519.SS,,28.9%,83.5%,32.9%,0.9360243069623803,0.7243422779690553,0.4403898333090066,-39.9%,1.1708377532086423,1.3779913390327052,-0.04463907117703744,1.281122129635114,1.0166024073749633,-4.0%
9,600536.SS,16.013,30.3%,1551.3%,57.2%,0.7452754875172577,0.36965024607264557,0.5410301567984559,-81.9%,1.1434311762898,1.1614005792419828,0.523352681393896,2.828097867217025,1.2684205222948457,-7.0%,600536.SS,-0.704,-13.6%,-29.4%,52.2%,-0.022037050140120095,-0.183143569347651,0.7345766713392621,-74.3%,0.9962200644687443,-0.03330747581149156,0.5136847105056419,1.426016567508098,1.1942102827370413,-6.6%
