,Symbols,BeforeCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Symbols,DuringCovid,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
0,000034.SZ,10.656,25.2%,984.9%,43.7%,0.7325331022339692,0.36722549819573713,0.47717178989904224,-68.7%,1.1593300522054417,1.1127882828378186,0.30983395843614076,3.4615204986856964,1.1298001933638377,-5.4%,000034.SZ,-0.733,-10.9%,-24.1%,53.0%,0.04541971287648726,-0.16986358618542333,0.7536681135970792,-64.3%,1.0081125943983489,0.06716023831369612,0.23812009754479885,1.7008773837430349,1.287572305593343,-6.7%
1,000048.SZ,10.742,25.1%,974.2%,43.1%,0.7339990402555969,0.39537797823677656,0.7746312697665475,-63.5%,1.1488716142481972,1.119261110740208,0.2954275402814256,3.0786974015964965,1.1490449976680828,-5.3%,000048.SZ,1.101,10.1%,25.9%,42.3%,0.4377786459251476,0.2039869825850144,0.044740690626024426,-49.7%,1.083770984498597,0.6876985611432447,0.5212403133257953,3.2658259201752777,1.3879008724781048,-5.3%
2,000156.SZ,13.163,28.1%,1281.4%,517.0%,0.32015010709685365,0.3242985629043638,0.46473026813471013,-86.6%,2.002012509623967,5.6486364708714065,51.09043528488558,2627.601463731443,1.0249624483359883,-64.5%,000156.SZ,-0.741,-9.0%,-20.2%,35.2%,-0.09377120700495185,-0.21147970954353987,0.5527170374892203,-42.7%,0.9828646669451786,-0.1366884429828936,0.3962733555459359,4.560875179963832,0.9489848836760614,-4.4%
3,000596.SZ,31.594,39.8%,3395.5%,46.5%,0.9521389764308256,0.5838790492557919,0.6354124566974865,-68.2%,1.1807029455658684,1.485758276435754,0.35491608843806577,1.819013368509582,1.2283475553338472,-5.7%,000596.SZ,1.738,27.4%,78.2%,50.3%,0.7318768194132762,0.6310560696134597,0.34479921075559544,-43.4%,1.1350618539140063,1.1136855139011914,0.22211838990131605,1.406933028995569,1.2018302753374455,-6.2%
4,000622.SZ,12.884,27.7%,1188.4%,410.5%,0.32571192389602277,0.31878520738473864,0.6458874293208686,-87.0%,1.8033240866414721,4.803487243715933,50.514333838839875,2574.8857171103177,1.0052265902670292,-51.2%,000622.SZ,1.138,5.6%,13.8%,46.4%,0.34523989830965207,0.1213552187088405,0.03556981940587524,-45.8%,1.0661894208704241,0.5439714721697367,0.7380125626210726,3.2995344719245407,1.1010338458293825,-5.8%
5,000631.SZ,12.694,30.3%,1545.6%,637.6%,0.3184780104671713,0.38778225862011845,0.18846729906735124,-78.2%,1.8648872638245926,6.603927464237064,51.20936384958103,2633.537162473819,1.0448495016248671,-79.5%,000631.SZ,1.186,7.7%,19.3%,33.2%,0.387854215425321,0.2470676038752165,0.6101664368256382,-31.2%,1.0784348153911771,0.5975386019064531,0.619992999944696,7.110311188572517,1.1211831029872852,-4.1%
6,000651.SZ,15.871,34.7%,2227.6%,37.0%,0.9886715235789818,0.7086680865418215,0.9497033119515146,-49.0%,1.1944881203973943,1.548696765824735,0.4053123625493638,2.934579428455204,1.2042417322938332,-4.5%,000651.SZ,-0.49,-21.6%,-44.0%,29.7%,-0.6695319509910813,-0.41210601647488526,0.6618298503708058,-52.4%,0.8916671714078395,-0.9555309243428659,0.3560929954389731,2.1015748574149695,1.1636150665222822,-3.8%
7,000661.SZ,52.991,45.9%,5374.6%,45.4%,1.0581640833516701,0.7947961522798234,0.9028171241350827,-57.7%,1.2060020548288777,1.6191792673617054,0.2069073885335806,2.072704457403889,1.1473389689532016,-5.5%,000661.SZ,1.033,1.7%,4.1%,50.4%,0.28537982572772863,0.022705324814644726,0.2499275863304402,-74.0%,1.0503096683958373,0.4073454292880324,-0.07806960711200393,1.2800613853402059,1.040550796103822,-6.3%
8,000671.SZ,21.563,34.6%,2238.8%,48.7%,0.85295259083224,0.631264739632672,0.7854543880330332,-54.9%,1.165944369331294,1.3100514844128421,0.24883848321378862,1.9739369202575778,1.2741366824570715,-6.0%,000671.SZ,-0.259,-40.7%,-71.3%,47.4%,-0.8667654989654195,-0.5551920795693472,0.8169839829229155,-73.3%,0.8524360205279833,-1.2789243763858662,0.6270591676954193,3.1558192767648308,1.2132802725831253,-6.1%
9,000703.SZ,14.531,29.8%,1490.5%,46.9%,0.7907233836925387,0.3963176248252636,0.3452188857643797,-75.2%,1.1516724803555038,1.1747496346344397,0.08498160758675043,1.988936017894261,1.0620187756318786,-5.8%,000703.SZ,-0.974,1.3%,3.1%,37.1%,0.21971309527843103,0.020994502274657812,0.0011914153493740613,-61.7%,1.0408927726086246,0.32421318972460816,0.16658313685074466,2.4704637475250326,1.2523675598370139,-4.6%
10,000786.SZ,10.841,27.4%,1197.4%,41.1%,0.7952606659921729,0.47300675932975283,0.7814849055338284,-58.0%,1.1515100649273005,1.1899060742173193,0.12920762662509258,2.2540623970913103,1.1281526057116622,-5.0%,000786.SZ,1.289,13.0%,33.8%,46.7%,0.4931840301290507,0.24488806857331796,0.07504009618594083,-53.0%,1.0865418327883374,0.7571944007414575,0.3676935597688076,1.2049496436914264,1.1794118451180553,-5.8%
11,000977.SZ,25.583,36.0%,2513.0%,53.1%,0.8454020555307374,0.5450187463119788,0.8116372519068537,-66.1%,1.1611906679211526,1.2599568147186309,0.061477747874424706,2.091732464025835,1.1164069513101829,-6.5%,000977.SZ,-0.844,-6.4%,-14.7%,45.5%,0.07932080182585116,-0.12301424835664804,0.4022806813223646,-52.4%,1.0140743404449075,0.1182557192583651,0.41730327339469125,2.1902557242432383,1.0979618273875555,-5.7%
12,001914.SZ,11.829,27.9%,1258.0%,53.9%,0.724107490165084,0.41564575378950763,0.7177585140124184,-67.2%,1.1518640939264542,1.1064278993119527,0.9611344282299832,23.812846714071647,1.1332044312232878,-6.6%,001914.SZ,-0.9,-3.7%,-8.6%,52.3%,0.1865544021892184,-0.053274060736173016,0.5430562878097088,-69.4%,1.0311158797587456,0.2891041531186169,0.4970606743346587,0.6672474388783529,1.2867199593720435,-6.6%
13,002013.SZ,12.164,26.9%,1149.7%,48.8%,0.7323877274747709,0.4166774864777692,0.7723451937575515,-64.5%,1.1414225488361638,1.0733125838922424,0.004111049819099073,2.1351204280395875,1.0429239238516517,-6.0%,002013.SZ,1.745,27.5%,78.4%,47.2%,0.7479253925314631,0.504898496861481,0.4721217333778106,-54.4%,1.137187409626359,1.1626276416294519,0.4187212072186377,1.530690085113017,1.241313201779669,-5.8%
14,002032.SZ,11.343,28.1%,1279.2%,38.8%,0.8309165804046003,0.4568396819432147,0.7877646288311109,-61.5%,1.1561459815400241,1.276361488623125,0.2924033714892799,2.207290086176103,1.2124255211273438,-4.8%,002032.SZ,-0.719,-10.3%,-22.8%,35.1%,-0.13616395066539072,-0.21361123580071592,0.46529443017063227,-48.2%,0.9772248101434224,-0.2018948764634834,0.4836926156545062,2.4380745184809287,1.1412558772059251,-4.4%
15,002044.SZ,19.619,33.4%,2022.8%,43.0%,0.8838863742733262,0.5509996336729642,0.7844964652883917,-60.6%,1.1888913744547065,1.3692210403150642,0.40605851596687775,3.850853272620415,1.2080868114327132,-5.3%,002044.SZ,-0.367,-34.3%,-63.3%,46.4%,-0.6736388435378048,-0.45685503521753457,0.7298127530183302,-75.2%,0.8894663416562811,-0.9314207660339333,-0.026562978730219258,2.0610089055350382,1.094999800879633,-6.0%
16,002049.SZ,20.894,33.8%,2088.0%,50.8%,0.8269174988358815,0.5150751103073404,0.8443918766643863,-65.6%,1.1621096366527572,1.2332606960602346,0.10884418281314967,1.8019958418525626,1.0275714835492336,-6.2%,002049.SZ,3.61,71.4%,261.6%,56.5%,1.2349583200628251,1.8380877358795156,0.8016920555635946,-38.9%,1.2319192264646077,1.9320973582858616,0.21100033098412113,0.934597559098505,1.1104970299319101,-6.8%
17,002120.SZ,11.561,26.8%,1135.2%,48.9%,0.7293403868532622,0.3793214675558061,0.8104809151799653,-70.5%,1.1398075953723086,1.0749357651746527,0.08307289061030165,2.202039565072151,1.0486414855274038,-6.0%,002120.SZ,-0.656,-15.8%,-33.6%,44.8%,-0.16314464226968892,-0.2750202006830108,0.29519181154041046,-57.4%,0.9722624377409288,-0.2567637947843884,0.8578378323556345,2.1685145363204157,1.2793967817798553,-5.7%
18,002127.SZ,12.825,27.5%,1219.1%,46.7%,0.7532255465847912,0.3518617488636838,0.7136543559773997,-78.3%,1.1493230288019807,1.1471270726383893,0.26999869534975557,2.250019206415061,1.1442004192980666,-5.7%,002127.SZ,-0.443,-27.8%,-54.0%,53.2%,-0.34667071305972175,-0.3386803341508702,0.6618132059452274,-82.0%,0.9420509798768237,-0.5090468319764865,0.345740931862027,1.5242291581036573,1.212271023195871,-6.8%
19,002157.SZ,13.68,28.8%,1357.3%,50.7%,0.7518889237029771,0.4608362367848326,0.6181007748113329,-62.5%,1.1435006680900557,1.1387801782471518,0.1998775509789059,1.6887662651076463,1.2075522262423368,-6.2%,002157.SZ,-0.364,-32.9%,-61.4%,50.6%,-0.5378856271879788,-0.4215858165403675,0.7624142461891837,-78.1%,0.9105239035065111,-0.7870896737081692,0.43925683942249927,1.8318879980883835,1.1679327386971738,-6.5%
20,002174.SZ,10.592,25.1%,974.8%,46.5%,0.7135914618806353,0.33940106936585623,0.6929983834499198,-74.1%,1.1447380541556864,1.0834253155284241,0.29501643571869196,2.651208819290134,1.1463648007383667,-5.7%,002174.SZ,-0.39,-32.5%,-60.9%,54.6%,-0.4483868232124891,-0.4427896095886458,0.7092168809310175,-73.4%,0.9249717399770264,-0.6491114761327677,0.35997166949042175,1.5640890768806148,1.1987007639681633,-7.0%
21,002185.SZ,10.723,25.6%,1019.7%,48.0%,0.7152704701127678,0.3967618177301918,0.738015735334526,-64.5%,1.1306443890642126,1.0386728019197125,-0.079594063324067,1.7513940422393937,1.0669352075038814,-5.9%,002185.SZ,1.206,8.5%,21.5%,48.1%,0.4088219729918683,0.14336818704690585,0.11357205148969353,-59.3%,1.0754261795313529,0.6127378607468008,0.282244696836706,2.089850373551137,1.1576145990915796,-6.0%
22,002230.SZ,18.536,32.2%,1828.8%,49.1%,0.8131397856623646,0.5459404850836468,0.8994095875433561,-59.0%,1.1546599590567501,1.237482448930745,0.23436856911276346,1.7941969569570633,1.1656276533379215,-6.0%,002230.SZ,1.187,7.9%,19.8%,43.0%,0.3887844164701246,0.1558680809307737,0.2891283591762546,-50.4%,1.0721777198203502,0.6011915787385352,0.5397183699964598,2.6569115408593635,1.3173131440285102,-5.3%
23,002236.SZ,20.787,33.9%,2101.0%,44.2%,0.8815761485932418,0.5370703417759474,0.7560643058133923,-63.1%,1.1639185886637635,1.3229783726351418,0.09842472259962612,1.61166812221182,1.1326573480837285,-5.4%,002236.SZ,-0.765,-9.2%,-20.6%,41.6%,-0.026163204209368147,-0.2118567998397392,1.8512208231227103e-06,-43.6%,0.9955482141546428,-0.03862484288314282,0.3693944173140564,1.9395107995760732,1.05004308879474,-5.2%
24,002241.SZ,17.236,31.5%,1727.3%,45.8%,0.8276598096432146,0.4453069864785783,0.500574289811424,-70.8%,1.153217946959164,1.2359084633816384,0.06026097812342137,1.7155986518894055,1.148582082338837,-5.6%,002241.SZ,1.624,23.3%,64.8%,55.8%,0.6528763422856274,0.44856087219998153,0.4235954454444712,-52.0%,1.116716184057085,0.9934604619485754,0.22244760075291986,0.9204697452130297,1.1748635715436286,-6.9%
25,002271.SZ,15.975,30.9%,1633.5%,47.7%,0.8024548370096437,0.5068050371836842,0.8890623209261186,-60.9%,1.149777199696603,1.2066275660103722,0.1436885476069706,1.7116278432114598,1.1734971178035416,-5.9%,002271.SZ,2.771,54.6%,182.5%,47.3%,1.1555758233013653,1.3865600713130362,0.5697604800059863,-39.3%,1.2116490524688355,1.8416304140577873,0.3576013792444506,1.0623757842863482,1.314086853201264,-5.7%
26,002475.SZ,22.134,41.8%,2181.2%,47.7%,0.9685625733282341,0.9159683554882255,0.9480754486905087,-45.7%,1.1930846548708105,1.5023471386157956,0.9262046326491787,21.43071880420559,1.2082995085292156,-5.8%,002475.SZ,1.131,5.5%,13.7%,50.1%,0.35681812498891974,0.09557958473943598,0.04110493314050829,-58.0%,1.0603677203622088,0.5336116760839154,0.20552012458791472,0.529206142001478,1.1611568755047998,-6.2%
