Industry,Total Count
Electrical Equipment & Parts,85
Software—Application,49
Medical Devices,21
Specialty Industrial Machinery,120
Leisure,10
Drug Manufacturers—General,4
Scientific & Technical Instruments,35
Aerospace & Defense,15
Biotechnology,30
Information Technology Services,35
Tools & Accessories,13
Consulting Services,2
Integrated Freight & Logistics,4
Medical Care Facilities,2
Drug Manufacturers—Specialty & Generic,34
Software—Infrastructure,14
Specialty Chemicals,73
Utilities—Regulated Water,6
Farm & Heavy Construction Machinery,8
Telecom Services,7
Entertainment,10
Semiconductors,19
Medical Instruments & Supplies,16
Computer Hardware,7
Semiconductor Equipment & Materials,9
Electronic Gaming & Multimedia,9
Packaging & Containers,10
Advertising Agencies,8
Financial Data & Stock Exchanges,1
Electronic Components,70
Waste Management,19
Communication Equipment,35
Security & Protection Services,14
Oil & Gas Equipment & Services,7
Farm Products,12
Building Materials,3
Building Products & Equipment,11
Packaged Foods,13
Auto Parts,42
Conglomerates,1
Pharmaceutical Retailers,4
Solar,5
Chemicals,38
Business Equipment & Supplies,9
Pollution & Treatment Controls,10
Publishing,4
"Furnishings, Fixtures & Appliances",13
Electronics & Computer Distribution,3
Metal Fabrication,35
Agricultural Inputs,5
Engineering & Construction,28
Auto Manufacturers,2
Specialty Business Services,10
Footwear & Accessories,5
Internet Content & Information,5
Steel,4
Diagnostics & Research,12
Health Information Services,4
Consumer Electronics,8
Education & Training Services,5
Aluminum,4
Railroads,7
Internet Retail,4
Industrial Distribution,1
Utilities—Independent Power Producers,1
Copper,2
Specialty Retail,3
Household & Personal Products,3
Staffing & Employment Services,1
Paper & Paper Products,1
Beverages—Wineries & Distilleries,1
Textile Manufacturing,8
Oil & Gas Refining & Marketing,1
Apparel Manufacturing,3
Travel Services,1
Food Distribution,1
Real Estate Services,1
Other Industrial Metals & Mining,3
Luxury Goods,3
Utilities—Regulated Electric,1
Beverages—Non-Alcoholic,1
Utilities—Renewable,1
Lodging,1
Confectioners,1
Auto & Truck Dealerships,1
Utilities—Regulated Gas,1
