,Symbols,Multiplier,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
0,300012.SZ,10.487,27.0%,1017.4%,44.5%,0.758788815374719,0.38239072105509947,0.8125503992984674,-70.6%,1.14457511965384,1.1561413433361203,0.240182881113627,2.2270617873667096,1.2288993689540748,-5.5%
1,300014.SZ,29.489,40.2%,2932.9%,60.2%,0.8742850048860016,0.5165659991855472,0.7427313257417892,-77.8%,1.1701731147778829,1.2727749744668033,-0.8361561233223088,14.242431514471175,1.2264951117047225,-7.4%
2,300015.SZ,19.317,34.7%,1926.5%,43.0%,0.9082581226147776,0.5582005882670551,0.9567253119556287,-62.2%,1.1732522356059247,1.3727217324711503,0.12792699221010015,2.074408354576777,1.1848988373565825,-5.3%
3,300033.SZ,24.881,38.9%,2654.4%,57.6%,0.8559182319312788,0.5039055517582286,0.7485032032658999,-77.2%,1.1676903115034083,1.343471517769998,0.41109814727126914,1.9667028104999664,1.3388253892454913,-7.1%
4,300035.SZ,11.601,28.7%,1172.5%,54.2%,0.7344134034511466,0.4590097894337968,0.7196216917270607,-62.4%,1.1406646416037076,1.1080217539976214,0.3186170431713309,2.506768883703476,1.0652408421635686,-6.7%
5,300059.SZ,57.774,49.9%,5838.6%,55.1%,1.008636697724171,0.640333871517879,0.801561599455065,-77.9%,1.1986744247485552,1.5569641144223842,0.20328803024099432,1.9058262128678027,1.3052433065240068,-6.7%
6,300073.SZ,17.857,33.4%,1735.5%,57.5%,0.7870548024224813,0.5229035834656733,0.894923437327227,-63.9%,1.1470620709987445,1.1969241759717368,0.30292214424979647,1.8208052695222925,1.1636076790831946,-7.1%
7,300122.SZ,16.591,32.7%,1643.2%,50.5%,0.8139867458055942,0.5238121003700946,0.9146036784644391,-62.5%,1.1586330347364222,1.195430173803865,-0.035586551231086734,2.234058946113074,1.092798797437807,-6.2%
8,300142.SZ,10.252,26.2%,944.6%,45.2%,0.7398627385865008,0.4158473099606566,0.9346412461996885,-62.9%,1.1487983001858033,1.1075108653311156,0.14530281318693603,3.678414375154521,1.1630296641890425,-5.6%
9,300207.SZ,13.234,29.9%,1304.6%,55.5%,0.7482652524274482,0.4609015195016196,0.8437256108009729,-64.9%,1.1375354498933798,1.1250846945849218,0.1923977493990521,1.4571884343590709,1.1042554401466933,-6.8%
10,300274.SZ,22.998,37.0%,2305.7%,58.4%,0.8309005554362312,0.4576330097350242,0.6517229771122255,-80.9%,1.1566145400022216,1.251062391104476,0.18571593657738558,2.5720884373457373,1.1560512419427944,-7.2%
11,300285.SZ,15.946,32.1%,1551.9%,48.3%,0.8184933987103747,0.6439479638346448,0.9290613623839807,-49.9%,1.1567172767841118,1.2189574557374894,0.06438875653398485,1.9627081162681126,1.1389888482593966,-5.9%
12,300316.SZ,16.405,34.2%,1673.0%,52.2%,0.8245394968696401,0.48749725513050696,0.8368322743636722,-70.2%,1.1540455455299976,1.233558657385278,0.1207575946792567,1.4209861180731371,1.0844201175543458,-6.4%
13,300327.SZ,10.666,29.8%,1152.1%,55.5%,0.7466412455100246,0.504183204012556,0.8535913324402327,-59.2%,1.138161173520865,1.1273138593733143,0.2545385719836537,1.8174413544185022,1.1642837203569607,-6.8%
14,300347.SZ,26.64,42.0%,2702.0%,51.1%,0.9422924312875839,0.6804908604563411,0.9052400153645386,-61.8%,1.1813492624779092,1.40343069521357,0.015857271706876574,1.4864776275183278,1.1386689506642458,-6.3%
15,300373.SZ,12.363,37.0%,1194.1%,58.5%,0.8291991444219455,0.5508880162117034,0.6659083519606351,-67.2%,1.1556613254770989,1.2664710672734827,0.30213504658649104,1.8163469570422386,1.2396817867502778,-7.2%
16,300390.SZ,20.011,49.2%,1991.0%,64.9%,0.9376495729960201,0.6444233756878734,0.4792232248407724,-76.3%,1.1823849030961269,1.4746571483404445,0.4663810396079139,1.772506861317451,1.3353496022036837,-7.9%
17,300395.SZ,11.04,38.7%,1071.0%,54.6%,0.8726916382648235,0.6004376211013635,0.740162557994458,-64.5%,1.1612740811310962,1.3014598857583204,0.031512145323497553,1.19814584394745,1.1162719232523486,-6.7%
18,300438.SZ,12.037,43.6%,1127.7%,62.0%,0.8922564429204122,0.5818969239323136,0.1034673372443573,-75.0%,1.1736716764500528,1.372679843739728,0.343434378534505,2.4349945627183933,1.179238611461167,-7.6%
19,300450.SZ,40.662,72.5%,4117.6%,57.9%,1.2293296340135595,1.306746900662481,0.8766913105564869,-55.5%,1.247583242574305,1.9467283503846755,0.3065098980165581,1.3667996750859936,1.373377192630418,-7.0%
20,300474.SZ,10.54,48.3%,970.1%,57.1%,0.9728030149473075,0.7141827665581629,0.44578373042357616,-67.6%,1.1851317479920125,1.5371754853742046,0.5001175934058741,2.2320652403217007,1.2914919666573634,-7.0%
21,300487.SZ,10.485,42.4%,981.6%,60.5%,0.884472673850021,0.7970448284190771,0.7725698062232693,-53.2%,1.168515166696708,1.357037189622263,0.3569380914193914,1.9376296883302855,1.112054691753753,-7.4%
22,300496.SZ,15.322,54.5%,1459.0%,59.6%,1.0273213585849144,0.7327248620221958,0.47284758618197714,-74.4%,1.1978936389133568,1.5867516146526428,0.20940244391506002,1.6405177529804975,1.2851185951113304,-7.3%
23,300573.SZ,17.601,72.0%,1710.1%,62.8%,1.1745781621803808,0.9610636765835168,0.6069202952142984,-74.9%,1.230837288916288,1.8852290747187164,0.40102855065209553,2.276561963022516,1.7353447986830006,-7.6%
24,300593.SZ,12.462,62.3%,1164.9%,60.0%,1.104196299659472,0.883123010057069,0.5638268029468932,-70.5%,1.2145129589800012,1.741014900577097,0.4520598196158414,2.508873954439438,1.2323640127764641,-7.3%
25,300595.SZ,18.213,74.6%,1749.5%,52.8%,1.317830095069594,1.0287859686150163,0.8506012452461557,-72.5%,1.259239509081105,2.08230536220097,0.3776543115734448,3.0022124460832273,1.1918192573234196,-6.4%
26,300601.SZ,20.317,79.7%,2003.0%,58.3%,1.2971555594398583,1.0385776289403372,0.6664211755523168,-76.8%,1.2536022067060097,2.0317548366547014,0.19578612001278053,1.6201463790775614,1.2953584178465,-7.0%
27,300604.SZ,17.959,78.3%,1708.0%,64.2%,1.2206447346634637,1.4599475182500956,0.8374105354421885,-53.7%,1.2275416216354083,1.8904446436834832,0.20400082434012776,1.1398297846124361,1.1775583623688324,-7.8%
28,300638.SZ,12.022,64.9%,1133.2%,58.1%,1.1504878902531819,1.1305915201281698,0.8874817912433841,-57.4%,1.2180132838458269,1.779914659395029,0.20627828693340444,1.1467919885612474,1.3223792108912065,-7.1%
29,300661.SZ,24.02,92.3%,2333.3%,60.7%,1.3791157661722366,1.9479227996751367,0.9200277394814073,-47.4%,1.266995541344946,2.210514981324549,0.30233075054520275,1.4793394359021077,1.406574613799819,-7.3%
30,300671.SZ,11.087,65.4%,1017.6%,66.0%,1.0894559104252415,0.969300705512989,0.6219466699420206,-67.5%,1.2068797793431567,1.7080428195956896,0.3614364390042845,1.7777436586774442,1.2983495710232602,-8.0%
31,300672.SZ,10.377,63.7%,953.5%,67.4%,1.0651294446823398,0.8536775914200039,0.6396070348238904,-74.6%,1.2124109568292707,1.6777888272831893,0.45993041364148746,3.2927359198150103,1.3040967519019706,-8.2%
32,300725.SZ,14.585,82.9%,1371.9%,60.8%,1.2954835367375162,1.2454712944613493,0.7389570584916787,-66.6%,1.2561612178135275,2.067124148078724,0.40760038270634447,3.3605862237140567,1.2600992878935424,-7.3%
33,300750.SZ,14.711,99.7%,1376.9%,52.7%,1.5737296036639499,2.1469370427597796,0.9031591055030367,-46.4%,1.3087509456040134,2.585311269220815,0.439342098064675,1.194088816708903,1.2727955361631322,-6.3%
34,300751.SZ,16.935,126.1%,1621.7%,61.2%,1.6376717345093244,2.704005246762158,0.8956108231067168,-46.6%,1.32342073367114,2.654145363161646,0.3568186325516786,1.3718314347738998,1.2934799832345436,-7.3%
35,300759.SZ,12.832,118.8%,1197.8%,58.3%,1.6347415888539825,2.081814663294495,0.764803025368169,-57.1%,1.3240561712864527,2.588834171337123,0.15978488820384962,1.140987761806663,1.2313439776262851,-7.0%
36,300763.SZ,23.155,174.4%,2305.6%,71.8%,1.7621232900621144,3.5642690486755493,0.9159758428154122,-48.9%,1.3624634342674873,2.8794897589522535,0.4286189495010832,1.9142120692452638,1.4942911207484673,-8.5%
37,300769.SZ,21.418,171.9%,2076.9%,69.8%,1.780275891161179,3.8990693803130685,0.9113186193370132,-44.1%,1.3590767156230341,2.96462092590278,0.453234524766465,1.2948058116732417,1.593200030726686,-8.3%
