,Symbols,Multiplier,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
0,600346.SS,10.043,27.6%,1070.4%,43.0%,0.7814113944737412,0.4793754787620386,0.937019377344998,-57.6%,1.1586944846026523,1.178160045829512,0.2414247467340892,2.864643011838476,1.0872913501840782,-5.3%
1,600389.SS,13.637,31.6%,1498.3%,51.3%,0.7886271858572763,0.4803921462077207,0.47691026873973486,-65.8%,1.1598687734893207,1.2295029024922985,0.6829117193573241,6.215692749429122,1.2096748652550764,-6.3%
2,600399.SS,11.307,27.4%,1050.3%,54.2%,0.738506892092472,0.31509425220776693,0.3540912315831245,-86.9%,1.1574860732235959,1.0581532614754907,-1.6171336146379272,37.46828977202744,1.08059347605793,-6.7%
3,600436.SS,19.803,35.3%,2010.5%,39.9%,0.9565989626457843,0.6487144564300459,0.9190727159974685,-54.4%,1.1903604854389662,1.4558177004860415,0.13915953405489606,3.1754549009272157,1.2445699439049571,-4.9%
4,600438.SS,23.476,38.8%,2644.4%,49.2%,0.9133590100621289,0.6060944964928567,0.8965426700241464,-64.1%,1.181214440760716,1.3822299898409798,0.036105050715428785,3.1822851675450172,1.2772076813135191,-6.0%
5,600460.SS,15.646,31.6%,1502.6%,52.4%,0.7852536927783575,0.4986716901608072,0.8481655944800418,-63.4%,1.1513443487274735,1.2058491372380027,0.26738556815034,2.007002089768071,1.2345201884902361,-6.4%
6,600486.SS,16.519,33.3%,1726.0%,43.7%,0.8764857940016927,0.6259337906758429,0.9507873872433839,-53.3%,1.1654655989006335,1.3269324411701837,0.19836459485871608,2.089420339218064,1.130201440091382,-5.4%
7,600563.SS,12.111,31.3%,1467.8%,45.9%,0.8231757184269647,0.6218336218933647,0.8583747634378182,-50.4%,1.1532660216887871,1.2365667898631034,0.10851613978654406,1.7860831779742714,1.1956432191246837,-5.6%
8,600702.SS,11.987,28.5%,1152.9%,50.7%,0.7475665667265052,0.3857191615538711,0.5210971694216749,-73.8%,1.1393743391241309,1.103936162553815,0.012071022795471925,1.4593251153622377,1.0049223431284309,-6.2%
9,600732.SS,12.572,28.7%,1175.4%,46.8%,0.7715639504679445,0.3893540435865522,0.6116306523761262,-73.7%,1.1584250824661537,1.189632010783691,0.40976316064007384,2.3426523770540806,1.0170899975446652,-5.7%
10,600745.SS,13.584,29.5%,1262.9%,51.3%,0.759799389104156,0.42992365507632707,0.8503028591482007,-68.7%,1.1615983156092615,1.161895608276529,0.2828923376917029,2.63586071088697,1.2313679563148312,-6.3%
11,600763.SS,16.409,32.0%,1551.2%,44.2%,0.8497904233849772,0.4459835028029374,0.8596188798999854,-71.8%,1.1697559439319916,1.2709246594385792,0.06076350056426322,2.5849733545630613,1.2090594309963878,-5.4%
12,600809.SS,15.308,32.7%,1639.4%,45.8%,0.8474736128909359,0.4624060814119089,0.6952499714882868,-70.7%,1.1593668628627707,1.2444359023690434,-0.13791873924632525,2.4575656321005077,1.1550404948294044,-5.6%
