Symbol,Industry
300012.SZ,Consulting Services
300014.SZ,Electrical Equipment & Parts
300015.SZ,Medical Care Facilities
300033.SZ,Software—Application
300035.SZ,Specialty Industrial Machinery
300059.SZ,Financial Data & Stock Exchanges
300073.SZ,Electrical Equipment & Parts
300122.SZ,Biotechnology
300142.SZ,Drug Manufacturers—Specialty & Generic
300207.SZ,Electrical Equipment & Parts
300274.SZ,Electrical Equipment & Parts
300285.SZ,Specialty Chemicals
300316.SZ,Semiconductor Equipment & Materials
300327.SZ,Semiconductors
300347.SZ,Diagnostics & Research
300373.SZ,Semiconductors
300390.SZ,Pollution & Treatment Controls
300395.SZ,Specialty Chemicals
300438.SZ,Electrical Equipment & Parts
300450.SZ,Specialty Industrial Machinery
300474.SZ,Semiconductors
300487.SZ,Chemicals
300496.SZ,Software—Application
300573.SZ,Medical Instruments & Supplies
300593.SZ,Electrical Equipment & Parts
300595.SZ,Medical Instruments & Supplies
300601.SZ,Drug Manufacturers—Specialty & Generic
300604.SZ,Semiconductor Equipment & Materials
300638.SZ,Communication Equipment
300661.SZ,Semiconductors
300671.SZ,Semiconductors
300672.SZ,Semiconductors
300725.SZ,Drug Manufacturers—Specialty & Generic
300750.SZ,Electrical Equipment & Parts
300751.SZ,Semiconductor Equipment & Materials
300759.SZ,Biotechnology
300763.SZ,Electrical Equipment & Parts
300769.SZ,Chemicals
