Symbol,Industry
000622.SZ,Auto Parts
000661.SZ,Drug Manufacturers—Specialty & Generic
000733.SZ,Communication Equipment
002049.SZ,Semiconductors
002129.SZ,Semiconductor Equipment & Materials
002192.SZ,Chemicals
002240.SZ,Lumber & Wood Production
002245.SZ,Conglomerates
002271.SZ,Building Products & Equipment
002312.SZ,Chemicals
002371.SZ,Semiconductor Equipment & Materials
002432.SZ,Medical Instruments & Supplies
002459.SZ,Solar
002460.SZ,Chemicals
002466.SZ,Specialty Chemicals
002475.SZ,Electronic Components
002487.SZ,Metal Fabrication
002507.SZ,Packaged Foods
002555.SZ,Electronic Gaming & Multimedia
002568.SZ,Specialty Chemicals
002594.SZ,Auto Manufacturers
002709.SZ,Specialty Chemicals
002714.SZ,Farm Products
002738.SZ,Other Industrial Metals & Mining
002747.SZ,Specialty Industrial Machinery
002805.SZ,Chemicals
002812.SZ,Packaging & Containers
002821.SZ,Biotechnology
