Symbols,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean
ABMD,0.26437,0.20598,0.81483,298134016,0.097,0.23805,279260992,235,hold,843595000,223637872,330,247.03,,7.533,0.09941,4,330,0.507,0.15303001,425,844321024,0,1056316992,18.572,USD,86400,23.21,6.645,2.7
ACAD,-0.39827,-0.39933,0.32696,-129638000,0.168,-0.40325,-204074000,10,hold,225589000,-49195624,18,16.12,,4.525,-0.19315,16,18.81,14.653,-0.40936002,26,436351008,63717000,512400992,2.696,USD,86400,3.181,4.293,2.6
ACCD,-0.35923,-1.14562,0.46859002,-57160000,0.196,-0.48731998,-125868000,8,buy,141002000,-136046256,13.5,11.4,,3.327,-0.096949995,14,13.5,63.082,-0.64748,17,330632992,319393984,350376992,4.596,USD,86400,5.131,3.206,2.2
ADBE,0.39137,0.27997,0.87761,7578999808,0.127,0.35449,6728000000,310,buy,13920000000,5941749760,356.5,285.72,-0.04,1.141,0.14403,30,379.6,32.29,0.33438998,540,5763999744,4640999936,17191000064,12.398,USD,86400,36.4,1.007,2.2
ADUS,0.08449,0.04902,0.3026,105311000,0.087,0.06854,76452000,104,strong_buy,270439000,81609248,112.5,98.5,-0.028,2.003,0.04182,8,116.75,40.913,0.07755,135,120917000,245387008,904878016,7.595,USD,86400,57.287,1.923,1.2
AEHR,0.17119,0.16726999,0.46308,,0.89,0.16563,9561750,,none,23665000,,,16.59,-0.31,5.993,0.13512,,,1.58,0.2842,,36147000,814000,55854000,1.327,USD,86400,2.082,4.168,
ALNY,-0.7599,-1.1091,0.83403,-578188992,0.019,-0.80821,-671937984,155,buy,704143000,157807872,239.5,186.82,,3.758,-0.1306,22,239.36,562.926,-1.90541,430,2110612992,990974976,884244992,8.792,USD,86400,7.365,3.425,2.1
AMBA,-0.0862,-0.121350005,0.62944,61908000,0.02,-0.114350006,-30478000,75,buy,208132000,73052376,104,56.29,,3.648,-0.03935,18,104.16,1.821,-0.079380006,150,197914000,10530000,353584992,5.152,USD,86400,9.435,3.038,2.1
AMD,0.26122,0.14507,0.50755,3704000000,0.701,0.16834,5635999744,65,buy,7929000000,3622874880,101,57.81,-0.534,2.437,0.05806,38,107.87,5.798,0.10059,200,5992000000,3199000064,21575999488,3.712,USD,86400,15.876,1.819,2
AMEH,0.12303001,0.07717,0.19375,72108000,0.536,0.10438,117511000,38,buy,177773000,30794750,47.5,33.63,-0.107,2.489,0.06753,2,47.5,42.448,-0.00379,57,273712992,223211008,955172992,6.044,USD,86400,21.412,2.42,2
AMZN,0.10829,0.02389,0.42645,35574001664,0.072,0.03148,52620001280,100,buy,1.97478E+11,-13441125376,172,113.67,,0.953,0.02451,47,170.32,119.907,0.094289996,232.75,60709998592,1.5756E+11,4.85902E+11,5.959,USD,86400,47.816,0.679,1.8
ARGX,0,0,0,-876256000,-0.734,-5.82564,-850161984,360,buy,-52254000,-538828096,428,346.08,,11.071,-0.16486,19,427.37,0.327,-0.30642998,475,2597392896,9700000,146300000,47.173,USD,86400,2.788,10.247,1.8
ASML,0.34724,0.29282,0.51102,10185400320,0.351,0.32174,6664200192,472,buy,9809000000,5230012416,613.67,421.89,0.405,1.355,0.12923001,7,667.81,57.669,0.56933,839.97,4401900032,4410899968,19191799808,11.082,EUR,86400,47.705,0.816,2
AVGO,0.57333,0.3196,0.75132006,15694000128,0.249,0.40691003,18162999296,540,buy,20288000000,12515749888,650,437.7,0.702,2.322,0.10946,21,653.17,188.944,0.44731998,775,9976999936,39495000064,31680000000,24.634,USD,86400,77.41,1.893,1.9
AXON,0.03681,0.14204,0.61449003,92719000,0.305,0.01455,36506000,120,buy,540910000,-109730496,142,126.16,,2.702,0.00521,11,146.73,2.094,0.12294,195,377228992,24997000,991606016,5.307,USD,86400,14.291,2.203,1.8
AZPN,0.30418,0.08696,0.5855,18949000,2.089,0.04685,146708000,182,buy,137630000,,240,249.8,,3.481,,5,230.8,2.694,,255,449724992,354799008,482311008,6.98,USD,86400,7.486,3.291,2.1
BLFS,-0.18821,-0.63584,0.28617,-16532000,0.299,-0.30411,-27828000,28,buy,38148000,-14193625,32,20.98,,3.545,-0.056700002,8,36.5,6.271,-0.21746999,68,46547000,25855000,147856992,1.093,USD,86400,3.538,2.337,1.9
BNTX,0.72581,0.55439,0.81816,9270599680,-0.398,0.72214997,15380599808,148.96,buy,16065200000,6898962432,209.85,135.29,-0.401,5.15,0.63122004,15,220.2,1.419,1.0529901,307.39,9334899712,238900000,21190899712,38.3,EUR,86400,86.761,5.025,2.4
CAMT,0.276,0.2282,0.5087,51282000,0.18,0.26479,83242000,,none,137344000,28289624,,22.43,0.114,6.28,0.10299,,,58.266,0.23098,,391040992,196230000,301600992,8.834,USD,86400,6.873,5.43,
CAR,0.35186002,0.21021,0.48977003,4607000064,0.368,0.33888,3956999936,150,hold,4007000000,-945875008,229,177.35,1.79,0.757,0.099020004,3,229.33,,,309,579000000,21078999040,11246000128,12.046,USD,86400,203.18,0.614,2.8
CDNS,0.34541,0.23608999,0.89742,1173288960,0.177,0.30332002,1134055936,170,buy,2681238000,1002527104,200,154.71,0.214,1.59,0.14673,13,196.31,13.256,0.30149,215,1029544000,347999008,3283217920,3.759,USD,86400,12.044,1.386,2.1
CELH,0.03857,0.03783,0.39574,-23960324,1.367,0.0354,18765704,75,buy,128168524,-28625176,121.5,89.24,11,2.87,0.03642,8,116,0.506,0.08628,130,60031000,1215000,486571552,0.794,USD,86400,6.515,1.193,1.7
CHDN,0.27253,0.2852,0.30603,506000000,0.131,0.21849,464500000,255,strong_buy,446100000,-1267262464,256,190.71,2.185,3.794,0.061329998,4,263,531.647,1.05639,285,310200000,3205299968,1704400000,8.375,USD,86400,44.501,0.711,1.5
CODA,0.24400999,0.1663,0.6877,5920804,0.076,0.21021,5409968,8,buy,14769718,4159449,8,5.7506,0.231,8.606,0.06362,1,8,,0.08803,8,21465468,0,22171072,1.977,USD,86400,2.042,6.151,2
CPSS,0,0.31884,1,205458000,0.393,0.43330002,,,strong_buy,210884000,,,5.24,1.333,41.763,0.03435,,,1132.97,0.45606,,11348000,2246576896,248026000,0.544,USD,86400,11.37,39.094,1
CSIQ,0.095649995,0.022909999,0.17382,,0.619,0.04219,604742528,18.39,hold,926464000,,46.5,33.2,4.944,1.198,0.02165,8,44.17,121.15,0.08599,56,1053566976,2557988096,6322703872,16.395,USD,86400,99.337,0.453,2.7
CTAS,0.23686,0.15464,0.46253,1573639936,0.142,0.20106001,1924286976,373,buy,3632246000,1112018432,450,397.71,0.09,1.718,0.12667,11,444.27,98.142,0.38425,495,74558000,3169617920,8123962880,0.734,USD,86400,79.1,0.724,2.2
CWST,0.21013,0.046919998,0.33578998,195975008,0.314,0.09316,210448000,90,buy,306808000,45649876,93,71.68,0.482,1.111,0.04488,5,94.6,141.76,0.11108,103,40763000,648643968,1001497984,0.789,USD,86400,19.462,0.914,2.1
DXCM,0.13971,0.06284,0.66099,596899968,0.17,0.09482,373500000,83,buy,1680500000,7275000,101.5,100.22,-0.346,4.72,0.0326,14,101.43,94.751,0.078990005,120,2754800128,2137500032,2673400064,7.017,USD,86400,6.871,4.109,1.6
ENPH,0.17308001,0.11707,0.40308997,513620000,0.678,0.14761,300428992,194,buy,554422000,359881632,293,258.18,0.941,3.617,0.07058,27,284.48,289.624,0.3925,363,1247800960,1306200064,1735725952,9.212,USD,86400,12.876,3.306,2.1
ENSG,0.11984,0.072680004,0.18193,297100000,0.147,0.09947,336471008,95,buy,482288000,99873000,100,85.38,0.161,1.283,0.06047,5,99.4,127.613,0.20025998,105,294571008,1430152960,2807602944,5.376,USD,86400,51.314,1.191,1.6
ENTG,0.30154,0.18024999,0.46132,440182016,0.212,0.24555,770990976,108,buy,1059664000,-2510400000,136,80.39,0.123,9.86,0.08986,12,132.58,181.402,0.26889,150,252950000,3469693952,2556832000,1.698,USD,86400,18.847,1.613,1.9
FCUV,0,0,0.18919,-3013600,-0.753,-4.61935,-4599717,,none,298131,-1700236,,8.71,,23.354,-0.32861,,,3.045,-0.65546995,,6823898,345390,1031112,0.157,USD,86400,0.024,22.527,
FIVN,-0.04002,-0.11703,0.53778,28949000,0.317,-0.10109,-28017000,90,buy,338492000,74601504,129.5,57.3,,4.501,-0.03825,20,131.28,322.045,-0.40199003,175,498382016,788694016,700086016,7.109,USD,86400,10.192,3.985,2
FTNT,0.21537,0.17663999,0.75257003,1485100032,0.286,0.18948,821800000,58.2,buy,2559200000,830962496,70,51.23,0.312,1.121,0.08327,30,70.94,,2.00924,85,1754899968,989400000,3815699968,2.226,USD,86400,4.724,1.015,1.9
GDEN,0.23304,0.09352,0.44002998,267456000,-0.011,0.14041,262727008,51,buy,496205000,203252368,63,38.18,-0.794,1.911,0.06161,6,61,337.096,0.34472,70,179163008,1129366016,1127395968,6.285,USD,86400,38.955,1.656,1.8
GMAB,0.36405,0.38805,1,2233999872,0.603,0.33888,3716999936,30,hold,8482000000,1691874944,39.15,35.18,5.177,13.113,0.086569995,10,41.01,2.59,0.17713,53,21614999552,634000000,10209999872,33.053,DKK,86400,15.5999,13.113,2.6
HMNF,0,0.22591,0,32948000,-0.233,0.31612,,,none,46590000,,,22.61,-0.48,,0.00911,,,,0.09219,,94954000,518000,41582000,21.814,USD,86400,9.459,,
HSKA,0.03292,-0.0686,0.42486,-17521000,-0.004,-0.02023,8487000,85,buy,105794000,6628875,152,72.33,,6.916,-0.00559,4,139.75,26.054,-0.04156,170,171928000,108721000,257784992,15.891,USD,86400,25.13,5.274,2.5
HTHT,0.01307,-0.12177,0.08427,1128999936,-0.057,-0.10476,169000000,35.98,buy,1503000000,-2512875008,44.98,31.03,,0.608,-0.013400001,15,45.07,472.47,-0.15318,51.41,6569999872,44586999808,12933999616,21.134,CNY,86400,41.52,0.525,1.7
HZNP,0.25858,0.20061001,0.76112,1414584064,0.053,0.25292,985982016,71,buy,2459470000,981418240,99.5,65.08,-0.612,4.049,0.07066,14,105.82,54.204,0.16962999,144,1892562944,2680688896,3813112064,8.215,USD,86400,16.719,3.244,1.7
IBCP,0,0.28935,0,104681000,0.015,0.36416999,,22,hold,208336000,,22,19.34,0.089,,0.0128,5,22.6,,0.16349001,24,86903000,126376000,205419008,4.127,USD,86400,9.664,,2.7
ICLR,0.16264,0.027660001,0.2774,997753984,1.221,0.08809,1234177024,215,buy,1510614000,1098900736,265,183.98,0.022,1.181,0.04052,15,261.07,64.325,0.04126,295,616630016,5239949824,7588429824,7.564,USD,86400,93.229,1.128,2.1
IESC,0.0423,0.02014,0.15377,-15024000,0.398,0.03013,86004000,,none,287998000,-53311124,,29.26,-0.641,1.606,0.047849998,,,37.048,0.1246,,17059000,140730000,2033225984,0.832,USD,86400,97.974,1.306,
LHCG,0.0733,0.03199,0.38483003,-90796000,0.055,0.06324,168336000,170,hold,883013000,-59246624,170,164.8,-0.711,1.372,0.03422,10,173,51.913,0.05637,190,27400000,871900032,2296568064,0.883,USD,86400,74.43,1.144,3
LRCX,0.33178002,0.26733,0.45694,3099674112,0.118,0.31241,5715560960,405,buy,7871807000,1622742400,544,350.72,0.095,2.691,0.20332001,22,545.27,83.215,0.74849,700,3657732096,5224552960,17227038720,26.701,USD,86400,123.139,1.746,2.2
MANH,0.20794001,0.16675,0.54297,184270000,0.155,0.19784,147964000,150,buy,365816000,173591008,168,132.59,0.02,1.381,0.17788,5,172.6,12.221,0.56342,205,213771008,25509000,711558976,3.408,USD,86400,11.26,1.282,1.9
MGPI,0.19809,0.16184,0.29587,83828000,0.115,0.16867,145338000,115,buy,177681000,-8634375,122.5,105.04,0.263,4.531,0.07293,6,121.83,34.727,0.18212,126,37415000,244159008,733675008,1.701,USD,86400,33.35,1.531,2
MPWR,0.28972,0.22398001,0.5805,358663008,0.572,0.26655,434214016,530,buy,685459000,185196624,569.5,344.34,1.043,5.234,0.15809,8,568.63,0.354,0.26743,600,811878976,5037000,1498744064,17.352,USD,86400,32.369,3.711,1.8
NBIX,0.13826,0.00941,0.65893,163600000,0.309,0.12824,179300000,78,buy,791100000,168387504,114,106.84,,3.568,0.052470002,23,115,20.072,0.00903,150,648300032,285700000,1296800000,6.779,USD,86400,13.636,3.246,2.1
NFLX,0.20075001,0.16419001,0.40634,704694016,0.086,0.19132,6229276160,157,hold,12365161000,16699799552,240,229.98,0.077,1.045,0.084989995,37,244.24,88.641,0.30934,330,5819448832,16909057024,31030693888,13.086,USD,86400,69.931,0.878,2.7
NOVT,0.19309999,0.07994,0.44221002,78019000,0.286,0.12839,153760000,132,buy,305039000,84711000,150,114.2,0.486,2.013,0.061329998,3,150.67,87.026,0.124180004,170,100489000,463128000,796257984,2.819,USD,86400,22.417,1.161,2.2
NSSC,0.14752,0.13649,0.42023998,8332000,0.22,0.13519,21183000,32,buy,60343000,5002500,34,26.77,0.333,4.516,0.089499995,5,34.8,6.459,0.19012,40,46798000,7350000,143592992,1.274,USD,86400,3.91,2.869,1.8
NTES,0.23427999,0.19899,0.54145,25874964480,0.128,0.20194,21853483008,,buy,46970801000,15959293952,,75.16,0.523,2.228,0.07289,,,29.915,0.17475,,1.11545E+11,31382824960,93279232000,170.314,CNY,86400,141.78,2.033,2
NVDA,0.35914,0.26031,0.60451,7552999936,0.03,0.31478,10680000512,110,buy,17475000000,6692250112,200,116.7,-0.723,3.62,0.14248,41,196.75,49.629,0.34405997,320,17036999680,11836999680,29738000384,6.842,USD,86400,11.888,2.952,2.1
NVEE,0.16440001,0.07032,0.49858,93472000,0.129,0.10560001,126091000,136,buy,359314000,78987504,151,127.42,0.242,1.863,0.053839996,7,152.64,20.477,0.08651,175,44422000,135343008,766993024,2.857,USD,86400,52.288,1.779,2.1
NVMI,0.30448,0.23852,0.57471,110886000,0.449,0.28139,155230000,,buy,237361000,69643504,,79.08,0.416,4.978,0.11078,,,46.846,0.25922,,364312000,244778000,509819008,12.699,USD,86400,17.843,3.953,2
NXST,0.37544,0.18787001,0.60589004,1428242944,0.1,0.27786,1823928064,205,buy,2813072000,1085319040,227,172.33,0.233,1.951,0.06439,9,229.11,261.918,0.33101,246,276400000,7514699776,4858071040,7.125,USD,86400,118.539,1.646,1.7
ODFL,0.32432,0.20774001,0.38573003,1520368000,0.264,0.27953,1937838976,260,hold,2000794000,658114368,281,267.85,0.429,1.925,0.22381,18,286.56,2.811,0.35678002,350,420524992,99955000,5975132160,3.762,USD,86400,52.21,1.786,2.8
OMQS,-0.06123,-0.13897,0.23823,-5888000,0.845,-0.0959,-5873000,13,buy,16669000,-6946250,15,5.93,,0.562,-0.10885999,2,15,,,17,2917000,17646000,95912000,0.385,USD,86400,12.879,0.407,2
OPNT,-0.46415,-0.51307,0.13621001,-10438638,-0.654,-0.46537998,-17871408,38,buy,21885509,-2265834,41,10.08,,9.562,-0.20255,3,40.33,48.86,-0.59907,42,40173384,14460878,38503568,7.779,USD,86400,7.975,8.839,1.7
OPRX,-0.051609997,-0.10885,0.60112,3258757,0.026,-0.08229,-3310609,22,buy,35638214,7261059,30,15.04,,17.141,-0.023640001,5,29,0.197,-0.052600004,37,87392968,277475,64147944,4.849,USD,86400,3.59,16.476,1.7
OSBC,0,0.13966,0,33652000,0.616,0.23821,,18,buy,131668000,,18.5,13.45,-0.1,,0.0051,5,19.1,,0.061739996,22,284256992,181739008,169072000,6.379,USD,86400,4.457,,1.6
PATK,0.12791,0.06917,0.21045,247680992,0.447,0.10422,642814976,60,buy,801194000,53034000,65.5,45.09,0.899,2.584,0.12470999,6,72.33,183.898,0.45119,90,77025000,1650652032,5025524224,3.369,USD,86400,222.936,0.913,2.3
PAYS,0.05834,-0.02108,0.55237,14045901,0.293,-0.02301,1945727,3.5,strong_buy,14711807,120725,3.75,2.18,,1.088,-0.00519,4,3.75,28.471,-0.05519,4,6527476,3845938,33353546,0.125,USD,86400,0.646,0.138,1.5
PLBC,0,0.38134,0,26432000,0.357,0.51076,,,none,54525000,,,28,0.129,,0.01625,,,,0.21061,,319003008,20728000,61567000,54.581,USD,86400,10.573,,
PODD,0.13165,0.02937,0.68067,-39700000,0.138,0.080299996,155100000,235,buy,752100000,-134075000,285,231.93,,4.687,0.029289998,13,287.92,334.162,0.0785,345,708600000,1411500032,1178099968,10.21,USD,86400,17.037,3.277,2
POOL,0.17784001,0.13166,0.31752002,154992992,0.15,0.17197001,1051993024,360,buy,1617092000,-37800624,415,322.75,0.198,2.773,0.20589,9,415.44,151.238,0.74039,465,116309000,1858803968,5915472896,2.938,USD,86400,149.046,0.98,2.3
PRPH,0.31538,0.20229,0.57897997,14939000,2.182,0.28009,41395000,14,buy,41988000,10257875,15,10.93,,4.203,0.26369,2,15,18.651,0.45821,16,27498000,12712000,131252000,1.718,USD,86400,8.464,3.837,2
PTSI,0.22038001,0.11407,0.26896998,125300000,0.471,0.15398,188123008,40,hold,184857000,51661376,40,33.05,0.615,1.786,0.13104,1,40,95.54,0.44367,40,54149000,249920992,853614016,2.432,USD,86400,38.101,1.693,3
REGN,0.51851004,0.39972,0.6326,8452199936,-0.444,0.49768,7376799744,575,buy,10726100000,6238974976,760,730.92,-0.733,5.119,0.18177,23,759.65,13.055,0.31756002,970,7566400000,2700699904,14226799616,70.775,USD,86400,133.272,4.195,2.3
RGEN,0.32841,0.20472,0.59137,140936992,0.274,0.27068,255756000,210,buy,400784000,27215000,274,207.9,0.375,2.304,0.059070002,9,266.56,23.08,0.09355,320,596512000,416675008,778769984,10.75,USD,86400,14.088,1.694,1.7
RILY,0,-0.03993,-0.03224,148896000,,-0.05711,,,none,626847000,,,44.23,,1.885,-0.00534,,,513.344,-0.03218,,3775067904,4600951808,889139008,133.44,USD,86400,32.025,1.751,
