Symbols,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean
ABMD,0.26437,0.20598,0.81483,298134016,0.097,0.23805,279260992,235,hold,843595000,223637872,330,247.03,,7.533,0.09941,4,330,0.507,0.15303001,425,844321024,0,1056316992,18.572,USD,86400,23.21,6.645,2.7
ADBE,0.39137,0.27997,0.87761,7578999808,0.127,0.35449,6728000000,310,buy,13920000000,5941749760,356.5,285.72,-0.04,1.141,0.14403,30,379.6,32.29,0.33438998,540,5763999744,4640999936,17191000064,12.398,USD,86400,36.4,1.007,2.2
AMD,0.26122,0.14507,0.50755,3704000000,0.701,0.16834,5635999744,65,buy,7929000000,3622874880,101,57.81,-0.534,2.437,0.05806,38,107.87,5.798,0.10059,200,5992000000,3199000064,21575999488,3.712,USD,86400,15.876,1.819,2
AMZN,0.10829,0.02389,0.42645,35574001664,0.072,0.03148,52620001280,100,buy,1.97478E+11,-13441125376,172,113.67,,0.953,0.02451,47,170.32,119.907,0.094289996,232.75,60709998592,1.5756E+11,4.85902E+11,5.959,USD,86400,47.816,0.679,1.8
AVGO,0.57333,0.3196,0.75132006,15694000128,0.249,0.40691003,18162999296,540,buy,20288000000,12515749888,650,437.7,0.702,2.322,0.10946,21,653.17,188.944,0.44731998,775,9976999936,39495000064,31680000000,24.634,USD,86400,77.41,1.893,1.9
CDNS,0.34541,0.23608999,0.89742,1173288960,0.177,0.30332002,1134055936,170,buy,2681238000,1002527104,200,154.71,0.214,1.59,0.14673,13,196.31,13.256,0.30149,215,1029544000,347999008,3283217920,3.759,USD,86400,12.044,1.386,2.1
CTAS,0.23686,0.15464,0.46253,1573639936,0.142,0.20106001,1924286976,373,buy,3632246000,1112018432,450,397.71,0.09,1.718,0.12667,11,444.27,98.142,0.38425,495,74558000,3169617920,8123962880,0.734,USD,86400,79.1,0.724,2.2
DPZ,0.18058,0.10629,0.26639998,512206016,0.032,0.16879,797697984,315,buy,1208741000,334740640,420,309.67,-0.078,1.47,0.27474,26,406.54,,,490,114353000,5281588224,4417533952,3.187,USD,86400,122.354,0.677,2.5
DXCM,0.13971,0.06284,0.66099,596899968,0.17,0.09482,373500000,83,buy,1680500000,7275000,101.5,100.22,-0.346,4.72,0.0326,14,101.43,94.751,0.078990005,120,2754800128,2137500032,2673400064,7.017,USD,86400,6.871,4.109,1.6
ENPH,0.17308001,0.11707,0.40308997,513620000,0.678,0.14761,300428992,194,buy,554422000,359881632,293,258.18,0.941,3.617,0.07058,27,284.48,289.624,0.3925,363,1247800960,1306200064,1735725952,9.212,USD,86400,12.876,3.306,2.1
