Symbols,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean
300012.SZ,0.22156,0.17175,0.49662998,999658944,0.207,0.15999,1039573696,26,buy,2200638113,47365844,28.1,20.35,0.196,2.227,0.07683,10,29.07,7.445,0.18240999,36.6,1234667904,364775936,4692123648,0.734,CNY,86400,2.8,2.084,1.8
300014.SZ,0.07125,0.109639995,0.15722,3337964800,1.274,0.036170002,1800291456,80,buy,3527791494,-9180109824,121.31,84.6,0.008,0.989,0.01224,14,118.3,86.987,0.13926,168,7600627712,18485886976,25266378752,4.004,CNY,86400,13.406,0.665,1.6
300015.SZ,0.29395,0.15855,0.52071,4487605760,0.027,0.26064,4632788480,34,strong_buy,7788374085,2720095232,38,28.67,0.097,1.142,0.11662,12,40.24,38.255,0.22139,48.7,4772594176,5026582528,15760245760,0.678,CNY,86400,2.273,1.029,1.5
300033.SZ,0.50623,0.50922,0.91059995,1943250304,0.097,0.49205002,1808289024,54,buy,3208547097,-298727904,104.7,77.48,-0.078,3.214,0.12979001,9,104.05,,0.32571998,200,6948587008,0,3572063488,12.925,CNY,86400,6.657,3.213,2
300035.SZ,0.19098,0.13777,0.23944001,-1920833024,1.374,0.17202999,650070400,34,strong_buy,624380187,-2757648640,37,21.23,0.29,1.951,0.05402,3,37,53.808,0.13281,40,2142180608,2590005760,3403825152,2.962,CNY,86400,5.18,1.146,1.2
300059.SZ,0,0.69869006,0.94566,24580931584,0.118,0.66829,,18.5,buy,11893151237,,29.74,17.62,0.133,1.328,0.048860002,16,29.67,101.01,0.18618,42,1.38532E+11,61743968256,13267202048,10.484,CNY,86400,1.046,1.291,1.7
300073.SZ,0.11724,0.1082,0.17322001,889703936,1.642,0.10759,1686222208,71,buy,1506617356,-281616640,111,66.01,0.371,2.107,0.07915,7,113.59,0.663,0.21721001,155,6825502208,67249512,14382172160,13.476,CNY,86400,29.686,1.69,1.6
300122.SZ,0.28584,0.23572001,0.37377,596463936,0.029,0.27383,10242823168,95,strong_buy,14938096418,-3673295104,133.17,86.43,-0.603,2.056,0.20933,8,129,13.423,0.49447,156.43,3378576640,2741749760,35834683392,2.112,CNY,86400,22.396,1.531,1.5
300142.SZ,0.26653,0.1187,0.88085,1118471296,0.847,0.23196,1189043712,33,buy,3059287857,-186016864,48,37.1,0.331,2.476,0.049850002,2,48,3.847,0.0712,63,3749772544,413170720,4461119488,2.341,CNY,86400,2.806,2.174,2
300207.SZ,0.04104,0.01545,0.13107,2648293632,0.419,0.01947,1781106944,34.1,strong_buy,5293807501,-4087605760,38.25,23.28,-0.372,1.161,0.0128,5,38.96,79.674,0.03603,44.47,10164124672,13871392768,43394441216,6.851,CNY,86400,26.255,0.773,1.4
300274.SZ,0.06685,0.0612,0.20971,232186528,0.586,0.056700002,1885671552,118,buy,5086759903,-1069476736,155,110.62,0.317,1.479,0.02497,11,159.39,34.783,0.12874,195,11048830976,5908763648,28207628288,7.472,CNY,86400,19.115,0.831,1.8
300285.SZ,0.29151,0.23503,0.41445,595657088,0.049,0.24826,996712128,36.9,buy,1410345387,-135554912,45,28.97,-0.047,3.279,0.07508,9,46.35,0.814,0.14216,60,1115358720,50333480,3419170816,1.119,CNY,86400,3.413,2.396,1.6
300316.SZ,0.33506,0.28822002,0.40171,1152762496,0.758,0.30778998,2695081472,70,strong_buy,2326323179,-441904288,93.1,67.62,1.407,1.254,0.088190004,7,88.25,1.602,0.34096,100,1123665792,126807936,8043632128,0.884,CNY,86400,6.242,0.472,1.5
300327.SZ,0.26143998,0.27673998,0.48485002,110605584,0.154,0.26096,447051904,43,strong_buy,705503321,78512248,60.8,33.32,0.211,3.209,0.16318001,5,60.72,0.5,0.35242,73,647597248,7185569,1709983232,1.893,CNY,86400,4.813,2.257,1.5
300347.SZ,0.26990998,0.41639,0.40278998,1299362688,0.539,0.24943,1822234368,82.2,buy,2270655056,54475148,137,91.18,-0.154,3.119,0.04486,14,147,10.668,0.15316,260,7810504192,2293330176,6751372288,9.045,CNY,86400,7.81,3.076,1.7
300373.SZ,0.26117,0.19193001,0.35606,1003727552,0.348,0.21443,1375904128,81,strong_buy,1517622194,-245101808,85.5,49.39,0.623,1.633,0.09473,2,85.5,11.014,0.20327999,90,1269501312,635044416,5268295680,2.484,CNY,86400,10.311,1.143,1.3
300390.SZ,0.68031996,0.42188,0.72094,4438297600,4.748,0.66722,6627424768,124.2,strong_buy,1728725901,2192819456,124.2,66.27,10.742,2.351,0.52454,1,124.2,26.367,1.10551,124.2,4341652480,1954024576,9741684736,7.382,CNY,86400,16.615,1.703,1
300395.SZ,0.35633,0.28531998,0.50778,247566016,0.708,0.29312,546672192,66.02,buy,613622311,-378346784,70.56,59.88,0.463,4.444,0.0838,4,71.36,0.602,0.16055,78.3,844579776,19011516,1534189824,1.666,CNY,86400,3.025,3.514,1.6
300438.SZ,0.09201,0.04216,0.16068001,197788544,0.725,0.04733,671943552,26,strong_buy,922978587,5936914,50,75.12,1.326,1.085,0.02535,3,54.97,35.47,0.10026,88.9,1080528512,1217596032,7302780416,2.458,CNY,86400,16.962,0.604,1.5
300450.SZ,0.16598,0.15517999,0.32508,2339187456,0.224,0.15754,2027867776,60,strong_buy,3350729281,1958168704,83,47.31,0.438,1.338,0.05065,15,83.11,3.871,0.21226999,129,6590363136,368860032,12217579520,4.214,CNY,86400,9.46,0.725,1.5
300474.SZ,0.22135,0.25100002,0.59808,-149670976,-0.307,0.19575001,257199552,75.15,strong_buy,665269303,-478276256,83.37,47.9,-0.389,7.247,0.04196,3,104.62,7.426,0.10458,155.33,845249344,219786144,1161968000,1.871,CNY,86400,2.578,5.451,1.2
300487.SZ,0.31618,0.25715,0.42976,548533120,0.604,0.244,440184832,78,buy,532552107,181561344,85,72.87,0.808,1.879,0.06425,2,85,8.07,0.16961001,92,1069165056,181238800,1392192128,3.245,CNY,86400,4.254,1.213,1.6
300496.SZ,0.13359,0.15538,0.41572,182319472,0.465,0.12687999,655802624,99.87,buy,1681560968,-722023552,165.5,105.58,0.459,2.588,0.055809997,12,162.06,14.741,0.14017001,191,1919619712,831517696,4909150720,4.508,CNY,86400,11.601,1.918,1.7
300573.SZ,0.28936002,0.20169,0.79008,361927648,0.177,0.23856,337425792,,strong_buy,798907650,-28126032,,90.85,0.151,5.457,0.12497,,,1.166,0.21518,,466527360,17101080,1166122880,5.296,CNY,86400,13.719,4.479,1
300593.SZ,0.25343,0.19481,0.46749002,-66495648,0.224,0.23331,441392544,55.56,buy,696302827,-271954336,61.33,45.44,0.446,1.651,0.10268,2,61.33,53.561,0.26945,67.1,216687712,813768384,1741699968,0.582,CNY,86400,4.692,0.899,1.7
300595.SZ,0.47819,0.39523998,0.76579005,620278208,0.106,0.45469,673941568,47.5,buy,993113802,327126592,50.5,41.3,-0.066,10.611,0.11059,5,56.04,4.581,0.19162,70.2,3106130944,191935040,1409368960,3.471,CNY,86400,1.66,10.103,1.7
300601.SZ,0.3879,0.23653999,0.68693,1710839552,0.234,0.28951,1717514240,39.85,buy,2504207613,-1919928192,50.31,30.31,,3.104,0.06489,6,52.75,25.988,0.12161,70,3331561216,2401186560,4427734016,2.973,CNY,86400,4.014,2.616,1.6
300604.SZ,0.16368,0.18447,0.52106,113572008,0.72,0.15,331688992,49,strong_buy,757505297,-204380608,52.81,57.02,2.576,2.212,0.05817,3,59.94,7.521,0.17977,78,904315136,197562736,2026444416,1.5,CNY,86400,3.433,1.29,1.5
300638.SZ,0.07887,0.08554,0.21987,-110663744,0.289,0.0727,371123456,26.67,strong_buy,981636548,-480199968,34.35,18.06,-0.169,1.427,0.049060002,4,35.84,49,0.21157,48,893526720,1024013184,4705219584,1.439,CNY,86400,7.555,1.122,1.4
300661.SZ,0.33076,0.32911998,0.5664,1235500032,0.68,0.32059,983788736,135,buy,1189831434,574076416,220.5,140.89,0.506,4.018,0.19421,13,232.54,1.791,0.40798,397,2083578368,53234716,2974350080,5.85,CNY,86400,8.403,3.304,1.7
300671.SZ,0.25402,0.21565,0.44535,116815616,-0.699,0.18371001,246614000,,hold,726942915,-286540800,,41.06,-0.95,2.908,0.03965,,,29.564,0.10778,,1299210880,712463104,970836480,5.967,CNY,86400,4.605,2.022,3
300672.SZ,0.112720005,0.10696,0.23739,786205696,1.145,0.10918,342365440,,hold,596286598,330395232,,66.06,,1.054,0.052199997,,,27.137,0.23572999,,484517600,408520160,3037267200,2.66,CNY,86400,16.757,0.263,3
300725.SZ,0.24796,0.19652,0.46383,88175104,0.189,0.19473,326047264,94,buy,578286277,-773790144,98,70.45,-0.737,2.656,0.041199997,2,98,59.517,0.11504,102,1543090944,1456568320,1314923008,7.729,CNY,86400,6.626,2.005,1.6
300750.SZ,0.13528,0.098450005,0.20986,35848290304,1.581,0.09329,26955610112,290,buy,32377992300,16954400768,645,400.89,1.626,1.243,0.03372,22,636.96,51.792,0.19723,800,1.55508E+11,77528367104,1.99252E+11,63.72,CNY,86400,85.832,0.853,1.6
300751.SZ,0.19137,0.2176,0.38916,775687168,0.525,0.18189,692123008,376.05,buy,1180299732,230439152,563,483.96,0.571,1.998,0.04773,8,545.78,0.271,0.18047,595,4273834752,16074413,3616645888,24.775,CNY,86400,21.378,1.19,1.6
300759.SZ,0.22448,0.19125,0.35306,2071767168,0.41,0.17072001,1973862656,62.1,buy,2676073570,-1119581696,101.05,54.05,0.059,2.062,0.05212,10,100.6,52.971,0.16553,171,3827136256,5450275840,8792844288,3.213,CNY,86400,7.417,1.712,1.7
300763.SZ,0.19361,0.14741,0.29898,684699072,0.6,0.16125,832588352,153.33,buy,948097178,-655159808,280,220.95,0.808,0.881,0.0583,5,259.08,101.407,0.2587,320,1376210688,2830074624,4300287488,3.725,CNY,86400,11.731,0.468,2
300769.SZ,0.22702,0.17489,0.28965,-2768595968,4.469,0.20826,2525355520,232,buy,1397051904,-2457428480,373.89,281.8,5.03,1.574,0.107329994,6,365.27,69.004,0.33635,466,7115336704,6384296960,11124049920,40.951,CNY,86400,69.181,1.121,1.7
