Symbols,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean
600346.SS,0.14758,0.07016,0.14616,19125444608,0.281,0.10778,31371026432,16.81,buy,30312005781,24321214464,27.63,16.92,-0.156,0.681,0.065560006,10,30.47,219.68,0.27302998,71.4,26502182912,1.2978E+11,2.12574E+11,3.765,CNY,86400,30.248,0.292,1.6
600389.SS,0.25739,0.20118,0.30747,1905352448,0.57,0.23096001,2203528448,74,buy,1432135987,1590004480,77.39,43.88,1.984,1.645,0.21450001,2,77.39,20.38,0.59532,80.78,2510617088,739180416,8561017344,8.222,CNY,86400,28.825,1.404,1.7
600399.SS,0.107200004,0.07177,0.16369,770119424,0.014,0.07819,799813056,23.79,strong_buy,1427462614,890265216,24.34,14.82,-0.649,2.944,0.03517,2,24.34,41.449,0.09309,24.9,2613175552,2504499968,7460980224,1.244,CNY,86400,3.748,1.669,1.5
600436.SS,0.35464,0.30604,0.49411,5543639040,0.123,0.34634998,3048328960,235,buy,4053573034,-3254823424,351.83,266.8,0.142,4.423,0.15199,8,365.02,8.625,0.27257,550,2730482432,921668096,8595476480,4.526,CNY,86400,14.245,1.394,1.9
600438.SS,0.29548,0.17955999,0.33181,17974331392,1.236,0.25796,28740415488,57,buy,17457204626,-7583101952,70,46.96,2.088,1.677,0.16740999,15,72.86,52.139,0.45063,93.6,14485904384,27930998784,97268105216,3.218,CNY,86400,21.609,1.315,1.7
600460.SS,0.24430999,0.20893998,0.31870002,567524288,0.191,0.16974,1971750144,34.8,buy,2324018914,-586708608,54,32.05,0.14,1.425,0.06553,10,52.72,59.389,0.26722,71.03,1719401600,4599645696,8070602752,1.214,CNY,86400,5.764,0.921,1.6
600486.SS,0.18933001,0.1321,0.25702998,2255429888,0.445,0.15139,2787847168,120.6,buy,2724579707,1343123072,145,100.01,0.758,1.398,0.096829996,7,157.22,13.654,0.26296,226.88,3635977984,1129520128,14724338688,11.733,CNY,86400,47.508,1.099,1.6
600563.SS,0.31694,0.27318,0.39369,930887104,0.315,0.28564,1043085376,203.4,buy,1175639063,345766720,220.5,160.67,0.143,2.764,0.13237001,6,221.76,0.721,0.27774,248.17,1630875136,25764422,3291064576,7.248,CNY,86400,14.602,2.231,1.9
600702.SS,0.32773998,0.24016,0.76968,1767943168,-0.163,0.31031,1836441600,167.73,strong_buy,3830865965,1025402816,197,139.18,-0.299,2.383,0.13701001,4,190.43,1.074,0.27273,200,3419414528,59968064,5603278848,10.298,CNY,86400,17.025,1.303,1.4
600732.SS,0.0559,0.0201,0.07956,2479668224,1.113,0.02007,1374388992,36.2,buy,864964720,1832265344,38.6,37.41,,0.712,0.01771,2,38.6,59.028,0.085109994,41,3378137600,3648903936,24588146688,1.659,CNY,86400,12.725,0.426,1.7
600745.SS,0.08505999,0.04536,0.16504999,3658061568,0.072,0.052670002,4802173440,79.2,buy,8416356844,-3257701888,93,47.67,0.197,1.198,0.027560001,13,105.13,48.017,0.07396,175,11302257664,17081741312,56455725056,9.068,CNY,86400,45.402,0.888,1.6
600763.SS,0.33308998,0.23284,0.43987998,867305984,-0.033,0.30794,926456320,132.45,buy,1280725360,240014480,151,128,-0.31,1.867,0.11792,7,160.38,38.39,0.23686,200,755037312,1322013184,2781397760,2.355,CNY,86400,8.682,1.771,2
