symbol,financialData
000622.SZ,"{'ebitdaMargins': -0.00918, 'profitMargins': -0.00514, 'grossMargins': 0.0617, 'operatingCashflow': 93927032, 'revenueGrowth': -0.833, 'operatingMargins': -0.01777, 'ebitda': -2057739, 'targetLowPrice': None, 'recommendationKey': 'none', 'grossProfits': 21338914, 'freeCashflow': 74985360, 'targetMedianPrice': None, 'currentPrice': 4.76, 'earningsGrowth': None, 'currentRatio': 2.364, 'returnOnAssets': -0.0077, 'numberOfAnalystOpinions': None, 'targetMeanPrice': None, 'debtToEquity': 4.054, 'returnOnEquity': -0.0057, 'targetHighPrice': None, 'totalCash': 18865338, 'totalDebt': 8381000, 'totalRevenue': 224059936, 'totalCashPerShare': 0.044, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 0.528, 'quickRatio': 0.801, 'recommendationMean': None}"
000661.SZ,"{'ebitdaMargins': 0.43834, 'profitMargins': 0.3404, 'grossMargins': 0.8837, 'operatingCashflow': 2937353216, 'revenueGrowth': 0.065, 'operatingMargins': 0.40895998, 'ebitda': 5091436032, 'targetLowPrice': 258, 'recommendationKey': 'strong_buy', 'grossProfits': 9309786009, 'freeCashflow': 149451760, 'targetMedianPrice': 277.16, 'currentPrice': 170.35, 'earningsGrowth': -0.059, 'currentRatio': 3.966, 'returnOnAssets': 0.13424, 'numberOfAnalystOpinions': 2, 'targetMeanPrice': 277.16, 'debtToEquity': 8.222, 'returnOnEquity': 0.23733, 'targetHighPrice': 296.32, 'totalCash': 5168506880, 'totalDebt': 1538011776, 'totalRevenue': 11615188992, 'totalCashPerShare': 12.849, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 28.782, 'quickRatio': 2.295, 'recommendationMean': 1.4}"
000733.SZ,"{'ebitdaMargins': 0.41034, 'profitMargins': 0.33685002, 'grossMargins': 0.60631, 'operatingCashflow': 1312365696, 'revenueGrowth': 0.293, 'operatingMargins': 0.37728, 'ebitda': 2738957568, 'targetLowPrice': 141.64, 'recommendationKey': 'strong_buy', 'grossProfits': 3439691302, 'freeCashflow': 150150256, 'targetMedianPrice': 154.9, 'currentPrice': 115.98, 'earningsGrowth': 1.461, 'currentRatio': 3.12, 'returnOnAssets': 0.13853, 'numberOfAnalystOpinions': 4, 'targetMeanPrice': 153.74, 'debtToEquity': 9.876, 'returnOnEquity': 0.30064, 'targetHighPrice': 163.5, 'totalCash': 1452472960, 'totalDebt': 845465152, 'totalRevenue': 6674906112, 'totalCashPerShare': 2.803, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 12.917, 'quickRatio': 2.32, 'recommendationMean': 1.4}"
002049.SZ,"{'ebitdaMargins': 0.43133998, 'profitMargins': 0.38224998, 'grossMargins': 0.62589, 'operatingCashflow': 1376673408, 'revenueGrowth': 0.167, 'operatingMargins': 0.38944, 'ebitda': 2568431872, 'targetLowPrice': 162.96, 'recommendationKey': 'strong_buy', 'grossProfits': 3167428598, 'freeCashflow': 64717696, 'targetMedianPrice': 194, 'currentPrice': 144, 'earningsGrowth': 0.206, 'currentRatio': 4.03, 'returnOnAssets': 0.12488, 'numberOfAnalystOpinions': 3, 'targetMeanPrice': 193.99, 'debtToEquity': 22.888, 'returnOnEquity': 0.31767, 'targetHighPrice': 225, 'totalCash': 3626051328, 'totalDebt': 1906063104, 'totalRevenue': 5954552320, 'totalCashPerShare': 4.268, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 7.009, 'quickRatio': 3.161, 'recommendationMean': 1.4}"
002129.SZ,"{'ebitdaMargins': 0.17497, 'profitMargins': 0.098409995, 'grossMargins': 0.18599, 'operatingCashflow': 4966245376, 'revenueGrowth': 0.8, 'operatingMargins': 0.114209995, 'ebitda': 9651414016, 'targetLowPrice': 44.81, 'recommendationKey': 'buy', 'grossProfits': 8325959041, 'freeCashflow': 546922560, 'targetMedianPrice': 72, 'currentPrice': 44.76, 'earningsGrowth': 0.548, 'currentRatio': 1.22, 'returnOnAssets': 0.05088, 'numberOfAnalystOpinions': 9, 'targetMeanPrice': 69.91, 'debtToEquity': 55.775, 'returnOnEquity': 0.15409, 'targetHighPrice': 85.75, 'totalCash': 11936970752, 'totalDebt': 24992335872, 'totalRevenue': 55158603776, 'totalCashPerShare': 3.715, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 17.473, 'quickRatio': 0.904, 'recommendationMean': 1.7}"
002192.SZ,"{'ebitdaMargins': 0.23246999, 'profitMargins': 0.40175998, 'grossMargins': 0.32419997, 'operatingCashflow': 383468608, 'revenueGrowth': 1.248, 'operatingMargins': 0.21434, 'ebitda': 365516096, 'targetLowPrice': None, 'recommendationKey': 'none', 'grossProfits': 256963300, 'freeCashflow': 35647044, 'targetMedianPrice': None, 'currentPrice': 112.56, 'earningsGrowth': 28.466, 'currentRatio': 1.763, 'returnOnAssets': 0.14523, 'numberOfAnalystOpinions': None, 'targetMeanPrice': None, 'debtToEquity': 8.779, 'returnOnEquity': 0.68611, 'targetHighPrice': None, 'totalCash': 196307248, 'totalDebt': 116470784, 'totalRevenue': 1572296064, 'totalCashPerShare': 0.756, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 6.057, 'quickRatio': 1.185, 'recommendationMean': None}"
002240.SZ,"{'ebitdaMargins': 0.66383004, 'profitMargins': 0.52205, 'grossMargins': 0.69617, 'operatingCashflow': 840270784, 'revenueGrowth': 4.175, 'operatingMargins': 0.64195997, 'ebitda': 4555009024, 'targetLowPrice': 62, 'recommendationKey': 'strong_buy', 'grossProfits': 1355133906, 'freeCashflow': 802937152, 'targetMedianPrice': 62, 'currentPrice': 46.76, 'earningsGrowth': 7.895, 'currentRatio': 2.157, 'returnOnAssets': 0.31967, 'numberOfAnalystOpinions': 1, 'targetMeanPrice': 62, 'debtToEquity': 33.289, 'returnOnEquity': 0.61841, 'targetHighPrice': 62, 'totalCash': 2927624960, 'totalDebt': 2708786944, 'totalRevenue': 6861696000, 'totalCashPerShare': 3.395, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 8.068, 'quickRatio': 1.597, 'recommendationMean': 1.5}"
002245.SZ,"{'ebitdaMargins': 0.12923001, 'profitMargins': 0.09217, 'grossMargins': 0.17673999, 'operatingCashflow': 517154272, 'revenueGrowth': 0.211, 'operatingMargins': 0.08835, 'ebitda': 956132736, 'targetLowPrice': 25, 'recommendationKey': 'strong_buy', 'grossProfits': 1332145928, 'freeCashflow': -169080368, 'targetMedianPrice': 28.37, 'currentPrice': 13.9, 'earningsGrowth': -0.16, 'currentRatio': 1.447, 'returnOnAssets': 0.03793, 'numberOfAnalystOpinions': 4, 'targetMeanPrice': 30.34, 'debtToEquity': 41.85, 'returnOnEquity': 0.13055, 'targetHighPrice': 39.6, 'totalCash': 3558570240, 'totalDebt': 3000018176, 'totalRevenue': 7398612992, 'totalCashPerShare': 3.089, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 7.143, 'quickRatio': 1.001, 'recommendationMean': 1.4}"
002271.SZ,"{'ebitdaMargins': 0.14341, 'profitMargins': 0.110080004, 'grossMargins': 0.28386998, 'operatingCashflow': 624926912, 'revenueGrowth': 0.017, 'operatingMargins': 0.125, 'ebitda': 4734174208, 'targetLowPrice': 41.7, 'recommendationKey': 'strong_buy', 'grossProfits': 9749731441, 'freeCashflow': -4232585472, 'targetMedianPrice': 53.52, 'currentPrice': 26.37, 'earningsGrowth': -0.501, 'currentRatio': 1.63, 'returnOnAssets': 0.0627, 'numberOfAnalystOpinions': 8, 'targetMeanPrice': 55.32, 'debtToEquity': 22.594, 'returnOnEquity': 0.14429, 'targetHighPrice': 73.5, 'totalCash': 5205222912, 'totalDebt': 6023290368, 'totalRevenue': 33011615744, 'totalCashPerShare': 2.075, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 13.273, 'quickRatio': 1.418, 'recommendationMean': 1.5}"
002312.SZ,"{'ebitdaMargins': 0.21931, 'profitMargins': 0.14902, 'grossMargins': 0.21234, 'operatingCashflow': 267811728, 'revenueGrowth': 0.847, 'operatingMargins': 0.17796, 'ebitda': 1961828992, 'targetLowPrice': 17, 'recommendationKey': 'strong_buy', 'grossProfits': 1279701577, 'freeCashflow': 1386693760, 'targetMedianPrice': 18.8, 'currentPrice': 11.11, 'earningsGrowth': 0.099, 'currentRatio': 1.253, 'returnOnAssets': 0.08708, 'numberOfAnalystOpinions': 2, 'targetMeanPrice': 18.8, 'debtToEquity': 28.151, 'returnOnEquity': 0.18591999, 'targetHighPrice': 20.59, 'totalCash': 2627192832, 'totalDebt': 2205565696, 'totalRevenue': 8945515520, 'totalCashPerShare': 1.342, 'financialCurrency': 'CNY', 'maxAge': 86400, 'revenuePerShare': 4.989, 'quickRatio': 0.7, 'recommendationMean': 1.2}"
