Symbol,Name
00001,CKH HOLDINGS
00002,CLP HOLDINGS
00003,HK & CHINA GAS
00004,WHARF HOLDINGS
00005,HSBC HOLDINGS
00006,POWER ASSETS
00007,WISDOM WEALTH
00008,PCCW
00009,KEYNE LTD
00010,HANG LUNG GROUP
00011,HANG SENG BANK
00012,HENDERSON LAND
00013,HUTCHMED
00014,HYSAN DEV
00016,SHK PPT
00017,NEW WORLD DEV
00018,ORIENTAL E H
00019,SWIRE PACIFIC A
00020,SENSETIME-W
00021,GREAT CHI HLDGS
00022,MEXAN
00023,BANK OF E ASIA
00025,CHEVALIER INT'L
00026,CHINA MOTOR BUS
00027,GALAXY ENT
00028,TIAN AN
00029,DYNAMIC HOLD
00030,BAN LOONG HOLD
00031,CHINA AEROSPACE
00032,CROSS-HAR(HOLD)
00033,INTL GENIUS
00034,KOWLOON DEV
00035,FE CONSORT INTL
00036,FE HLDGS INTL
00037,FE HOTELS
00038,FIRST TRACTOR
00039,CH BEIDAHUANG
00040,GOLD PEAK
00041,GREAT EAGLE H
00042,NE ELECTRIC
00045,HK&S HOTELS
00046,COMPUTER & TECH
00048,C AUTO INT DECO
00050,HK FERRY (HOLD)
00051,HARBOUR CENTRE
00052,FAIRWOOD HOLD
00053,GUOCO GROUP
00055,NEWAY GROUP
00057,CHEN HSONG HOLD
00058,SUNWAY INT'L
00059,SKYFAME REALTY
00060,HK FOOD INV
00061,GREEN LEADER
00062,TRANSPORT INT'L
00063,CHI ASIA VALLEY
00064,GET NICE
00065,GRAND OCEAN AR
00066,MTR CORPORATION
00068,LEE HING
00069,SHANGRI-LA ASIA
00070,RICH GOLDMAN
00071,MIRAMAR HOTEL
00072,META MEDIA
00073,ASIAN CITRUS
00075,Y.T. REALTY
00076,ELATE HOLDINGS
00077,AMS TRANSPORT
00078,REGAL INT'L
00079,CENTURY LEGEND
00080,CNEWECON FUND
00081,CH OVS G OCEANS
00082,CRAZY SPORTS
00083,SINO LAND
00084,STELUX HOLDINGS
00085,CE HUADA TECH
00086,SUN HUNG KAI CO
00087,SWIRE PACIFIC B
00088,TAI CHEUNG HOLD
00089,TAI SANG LAND
00090,PUXING ENERGY
00091,GOLDEN CEN INTL
00092,CHAMPION TECH
00093,TERMBRAY IND
00094,GREENHEART GP
00095,LVGEM CHINA
00096,YUSEI
00097,HENDERSON INV
00098,XINGFA ALUM
00099,WONG'S INT'L
00101,HANG LUNG PPT
00102,SUMMIT ASCENT
00103,SHOUGANG CENT
