Symbols,Value
000034.SZ,0.733
000048.SZ,1.101
000156.SZ,0.741
000596.SZ,1.738
000622.SZ,1.138
000631.SZ,1.186
000651.SZ,0.49
000661.SZ,1.033
000671.SZ,0.259
000703.SZ,0.974
000786.SZ,1.289
000977.SZ,0.844
001914.SZ,0.9
002013.SZ,1.745
002032.SZ,0.719
002044.SZ,0.367
002049.SZ,3.61
002120.SZ,0.656
002127.SZ,0.443
002157.SZ,0.364
002174.SZ,0.39
002185.SZ,1.206
002230.SZ,1.187
002236.SZ,0.765
002241.SZ,1.624
002271.SZ,2.771
002475.SZ,1.131
002488.SZ,0.922
002489.SZ,0.838
002714.SZ,1.422
