Symbols,BeforeCovid,DuringCovid

600201.SS,12.331,-0.473

600276.SS,18.694,-0.583

600305.SS,11.139,1.041

600340.SS,52.505,-0.146

600346.SS,17.443,1.372

600436.SS,23.984,3.195

600446.SS,21.432,-0.493

600460.SS,11.359,3.185

600519.SS,14.563,nan

600536.SS,16.013,-0.704

600562.SS,14.624,1.015

600570.SS,20.127,1.014

600593.SS,10.957,-0.332

600703.SS,19.583,1.279

600728.SS,10.216,-0.666

600745.SS,26.846,-0.817

600763.SS,35.986,1.626

600809.SS,15.954,4.981

600872.SS,13.105,-0.828

600887.SS,22.531,1.198

601012.SS,11.822,4.74

601888.SS,10.422,2.433

603019.SS,10.52,1.12

603222.SS,10.025,-0.291

603501.SS,14.243,1.127

603690.SS,12.15,1.177

603799.SS,10.435,3.077

603986.SS,17.338,1.22

