Symbols,BeforeCovid,DuringCovid
000034.SZ,10.656,-0.733
000048.SZ,10.742,1.101
000156.SZ,13.163,-0.741
000596.SZ,31.594,1.738
000622.SZ,12.884,1.138
000631.SZ,12.694,1.186
000651.SZ,15.871,-0.49
000661.SZ,52.991,1.033
000671.SZ,21.563,-0.259
000703.SZ,14.531,-0.974
000786.SZ,10.841,1.289
000977.SZ,25.583,-0.844
001914.SZ,11.829,-0.9
002013.SZ,12.164,1.745
002032.SZ,11.343,-0.719
002044.SZ,19.619,-0.367
002049.SZ,20.894,3.61
002120.SZ,11.561,-0.656
002127.SZ,12.825,-0.443
002157.SZ,13.68,-0.364
002174.SZ,10.592,-0.39
002185.SZ,10.723,1.206
002230.SZ,18.536,1.187
002236.SZ,20.787,-0.765
002241.SZ,17.236,1.624
002271.SZ,15.975,2.771
002475.SZ,22.134,1.131
002488.SZ,109.077,-0.922
002489.SZ,165.378,-0.838
002714.SZ,17.678,1.422
