Symbols,Multiplier
300012.SZ,10.487
300014.SZ,29.489
300015.SZ,19.317
300033.SZ,24.881
300035.SZ,11.601
300059.SZ,57.774
300073.SZ,17.857
300122.SZ,16.591
300142.SZ,10.252
300207.SZ,13.234
300274.SZ,22.998
300285.SZ,15.946
300316.SZ,16.405
300327.SZ,10.666
300347.SZ,26.64
300373.SZ,12.363
300390.SZ,20.011
300395.SZ,11.04
300438.SZ,12.037
300450.SZ,40.662
300474.SZ,10.54
300487.SZ,10.485
300496.SZ,15.322
300573.SZ,17.601
300593.SZ,12.462
300595.SZ,18.213
300601.SZ,20.317
300604.SZ,17.959
300638.SZ,12.022
300661.SZ,24.02
300671.SZ,11.087
300672.SZ,10.377
300725.SZ,14.585
300750.SZ,14.711
300751.SZ,16.935
300759.SZ,12.832
300763.SZ,23.155
300769.SZ,21.418
