Symbol,Multiplier,Industry
1196.HK,27.179,Waste Management
1211.HK,17.329,Auto Manufacturers
1268.HK,14.36,Auto & Truck Dealerships
1271.HK,24.802,Engineering & Construction
1302.HK,10.276,Medical Devices
1308.HK,11.327,Marine Shipping
1548.HK,21.553,Biotechnology
1585.HK,11.636,Auto Manufacturers
1725.HK,12.29,Aerospace & Defense
1735.HK,43.179,Engineering & Construction
1772.HK,10.28,Chemicals
1908.HK,34.194,Real Estate—Development
2020.HK,10.478,Leisure
2331.HK,12.554,Leisure
2382.HK,68.032,Electronic Components
3888.HK,10.373,Electronic Gaming & Multimedia
6865.HK,14.227,Building Products & Equipment
