Symbol,Multiplier,Industry
ABMD,13.562,Medical Devices
ADBE,12.813,Software—Infrastructure
AMD,13.954,Semiconductors
AMZN,11.865,Internet Retail
AVGO,16.781,Semiconductors
CDNS,14.51,Software—Application
CTAS,10.6,Specialty Business Services
DPZ,11.756,Restaurants
DXCM,31.581,Medical Devices
ENPH,26.599,Solar
EPAM,21.056,Information Technology Services
FTNT,13.621,Software—Infrastructure
LRCX,11.596,Semiconductor Equipment & Materials
MOH,12.455,Healthcare Plans
MPWR,25.266,Semiconductors
MSCI,12.562,Financial Data & Stock Exchanges
NFLX,16.945,Entertainment
NOW,19.33,Software—Application
NVDA,43.188,Semiconductors
ODFL,14.126,Trucking
PAYC,18.249,Software—Application
POOL,11.661,Industrial Distribution
REGN,10.475,Biotechnology
SEDG,13.221,Solar
SNPS,11.252,Software—Infrastructure
STZ,11.243,Beverages—Wineries & Distilleries
TMO,11.584,Diagnostics & Research
TSLA,119.911,Auto Manufacturers
TYL,10.958,Software—Application
WST,15.852,Medical Instruments & Supplies
