Symbols,Multiplier
000622.SZ,14.839
000661.SZ,15.418
000733.SZ,22.179
002049.SZ,20.062
002129.SZ,12.019
002192.SZ,16.582
002240.SZ,15.327
002245.SZ,10.324
002271.SZ,20.276
002312.SZ,12.004
002371.SZ,19.898
002432.SZ,10.182
002459.SZ,13.149
002460.SZ,43.445
002466.SZ,23.862
002475.SZ,21.484
002487.SZ,10.553
002507.SZ,11.83
002555.SZ,10.415
002568.SZ,12.379
002594.SZ,14.784
002709.SZ,42.508
002714.SZ,27.128
002738.SZ,16.684
002747.SZ,15.61
002805.SZ,10.504
002812.SZ,25.439
002821.SZ,10.636
