Symbols,Multiplier,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Company Name,CSRC Industry ,Wind Industry ,Rating
600346.SS,10.043,27.60%,1070.40%,43.00%,0.781411394,0.479375479,0.937019377,-57.60%,1.158694485,1.178160046,0.241424747,2.864643012,1.08729135,-5.30%,Hengli petrochemical,Chemical Fiber Manufacturing,Materials ?,BB
600389.SS,13.637,31.60%,1498.30%,51.30%,0.788627186,0.480392146,0.476910269,-65.80%,1.159868773,1.229502902,0.682911719,6.215692749,1.209674865,-6.30%,JSAC,Chemical materials and chemical products manufacturing industry.,Materials ?,BBB
600399.SS,11.307,27.40%,1050.30%,54.20%,0.738506892,0.315094252,0.354091232,-86.90%,1.157486073,1.058153261,-1.617133615,37.46828977,1.080593476,-6.70%,FSSS,Industry of Ferrous Metal Smelting & Rolling Processing,Materials ?,BB
600436.SS,19.803,35.30%,2010.50%,39.90%,0.956598963,0.648714456,0.919072716,-54.40%,1.190360485,1.4558177,0.139159534,3.175454901,1.244569944,-4.90%,Zhangzhou PIEN TZE HUANG,Pharmaceutical Industry,"Pharmaceuticals, Biotechnology & Life Sciences",A
600438.SS,23.476,38.80%,2644.40%,49.20%,0.91335901,0.606094496,0.89654267,-64.10%,1.181214441,1.38222999,0.036105051,3.182285168,1.277207681,-6.00%,TONGWEI,Agricultural & Sideline Food Processing Industry,Semiconductors & Semiconductor Equipment ?,A
600460.SS,15.646,31.60%,1502.60%,52.40%,0.785253693,0.49867169,0.848165594,-63.40%,1.151344349,1.205849137,0.267385568,2.00700209,1.234520188,-6.40%,SILAN,"Manufacturing of Computers, Communications & Other Electronic Equipment",Semiconductors & Semiconductor Equipment ?,BBB
600486.SS,16.519,33.30%,1726.00%,43.70%,0.876485794,0.625933791,0.950787387,-53.30%,1.165465599,1.326932441,0.198364595,2.089420339,1.13020144,-5.40%,Yangnong Chemical,Chemical materials and chemical products manufacturing industry.,Materials ?,BBB
600563.SS,12.111,31.30%,1467.80%,45.90%,0.823175718,0.621833622,0.858374763,-50.40%,1.153266022,1.23656679,0.10851614,1.786083178,1.195643219,-5.60%,FARATRONIC,"Manufacturing of Computers, Communications & Other Electronic Equipment",Technology Hardware And Device,BB
600702.SS,11.987,28.50%,1152.90%,50.70%,0.747566567,0.385719162,0.521097169,-73.80%,1.139374339,1.103936163,0.012071023,1.459325115,1.004922343,-6.20%,TUOPAI SHEDE,"Alcohol, Beverage & Refined Tea Manufacturing","Food, Drink and Tobacco",BB
600732.SS,12.572,28.70%,1175.40%,46.80%,0.77156395,0.389354044,0.611630652,-73.70%,1.158425082,1.189632011,0.409763161,2.342652377,1.017089998,-5.70%,SHANGHAI XINMEI,Electric Machinery & Equipment Manufacturing,Semiconductors & Semiconductor Equipment ?,BB
600745.SS,13.584,29.50%,1262.90%,51.30%,0.759799389,0.429923655,0.850302859,-68.70%,1.161598316,1.161895608,0.282892338,2.635860711,1.231367956,-6.30%,WINGTECH,"Manufacturing of Computers, Communications & Other Electronic Equipment",Technology Hardware And Device,BBB
600763.SS,16.409,32.00%,1551.20%,44.20%,0.849790423,0.445983503,0.85961888,-71.80%,1.169755944,1.270924659,0.060763501,2.584973355,1.209059431,-5.40%,TCMEDICAL,Health,Medical Health Care Device And Service,BBB
600809.SS,15.308,32.70%,1639.40%,45.80%,0.847473613,0.462406081,0.695249971,-70.70%,1.159366863,1.244435902,-0.137918739,2.457565632,1.155040495,-5.60%,SHANXI FEN WINE,"Alcohol, Beverage & Refined Tea Manufacturing","Food, Drink and Tobacco",BBB
600845.SS,13.387,30.40%,1360.30%,47.20%,0.797940611,0.458256603,0.847518084,-66.40%,1.149744134,1.208613449,0.180311572,1.785325066,1.175196821,-5.80%,BAOSIGHT,Industry of Software & Information Technology Services,Software And Service,BBB
