Symbol,Industry
600346.SS,Textile Manufacturing
600389.SS,Agricultural Inputs
600399.SS,Steel
600436.SS,Drug Manufacturers—General
600438.SS,Farm Products
600460.SS,Semiconductor Equipment & Materials
600486.SS,Agricultural Inputs
600563.SS,Electronic Components
600702.SS,Beverages—Wineries & Distilleries
600732.SS,Solar
600745.SS,Communication Equipment
600763.SS,Medical Care Facilities
600809.SS,Beverages—Wineries & Distilleries
600845.SS,Software—Application
601012.SS,Semiconductor Equipment & Materials
601100.SS,Specialty Industrial Machinery
601799.SS,Auto Parts
601888.SS,Specialty Retail
603019.SS,Computer Hardware
603032.SS,Railroads
603127.SS,Diagnostics & Research
603290.SS,Semiconductor Equipment & Materials
603345.SS,Packaged Foods
603392.SS,Biotechnology
603501.SS,Semiconductors
603605.SS,Household & Personal Products
603606.SS,Electrical Equipment & Parts
603613.SS,Information Technology Services
603690.SS,Specialty Industrial Machinery
603737.SS,Specialty Chemicals
603799.SS,Other Industrial Metals & Mining
603986.SS,Semiconductors
605358.SS,Semiconductors
